		D0052A	D0053A	D0057A	D0058A	D0063A	D0064A	D0068A	D0069A	D0073A	D0074A	D0078A	D0079A	D0085A	D0086A	D0089A	D0090A	D0095A	D0096A	D0100A	D0101A	D0105A	D0107A	D0110A	D0111A	D0116A	D0117A	D0121A	D0122A	D0127A	D0128A	D0132A	D0133A	D0137A	D0138A	D0142A	D0143A	D0147A	D0148A	D0152A	D0153A	D0158A	D0159A	D0163A	D0164A	D0167A	D0173A	D0174A	D0177A	D0182A	D0187A	D0192A	D0198A	D0203A	D0208A	D0213A	D0270A	D0271A	D0275A	D0276A	D1030A	D1031A
Proteobacteria	D0078A-S11-MaxBin2-028	-6.336848729	-6.237067023	-4.414334147	-4.298285593	-5.7787178	-5.778533058	-5.288159433	-5.217141461	-6.340431786	-6.301502882	-1.52468292	-1.404001813	-6.49460683	-6.400803589	-3.254100286	-3.204555724	-6.384563374	-6.267096317	-3.717118077	-3.298810745	-6.72512427	-6.747141388	-3.390955281	-3.260252531	-5.660339294	-5.557612741	-3.382713535	-3.360716012	-5.647254326	-5.644443573	-4.66210833	-5.07870892	-5.872743107	-5.864414855	-4.408410693	-4.427109444	-6.073442359	-6.18379455	-4.674914769	-4.570410756	-5.013397706	-4.809365274	-4.513521793	-4.466053321	-5.794602353	-6.334505486	-6.038546637	-5.876697112	-4.576702659	-5.359076096	-4.748938599	-6.364743899	-4.916308334	-6.689900328	-4.181742312	-5.102369734	-5.081275754	-4.394928548	-4.513400722	-3.285858183	-3.207885095
Actinobacteriota	D0089A-S15-MaxBin2-008	-3.17880737	-3.114940021	-0.422552569	-0.339769927	-2.94565705	-2.845415431	-0.965757876	-1.178726521	-4.366860701	-4.213224387	-1.342961342	-1.372872041	-4.581897801	-4.549899447	-0.143790927	-0.094768036	-4.712191302	-4.658491325	-0.876257486	-0.320656246	-5.24923734	-6.074029099	-0.032252463	-0.076175892	-1.368083859	-1.285178626	-0.130451112	-0.206344522	-2.66597322	-2.657201942	-1.570828679	-1.799805627	-3.39083283	-3.338301853	-1.102935477	-1.03609407	-3.201849401	-3.428696798	-1.591610563	-1.624578703	-1.306820476	-1.248939623	-0.605867979	-0.521121864	-2.773330822	-5.265290082	-5.042992807	-3.363038357	-1.004132132	-3.181232774	-2.71931262	-4.496143509	-2.85614012	-6.821098707	-0.920875649	-2.095096475	-2.061745673	-2.524969795	-2.710649411	0.018677191	-0.003374286
Proteobacteria	D0090A-S16-MaxBin2-002	-3.149976568	-2.936599324	-1.540014696	-1.505600011	-2.268602044	-2.225485534	-2.253517967	-2.268379231	-4.181435913	-4.214123154	-2.926916519	-2.886963827	-4.391205108	-4.253689569	0.841046318	0.87514952	-4.431461026	-4.494052246	0.06106923	0.527617725	-5.597342597	-6.039163131	-0.487562095	-0.440112562	-1.624290716	-1.496832252	0.043719234	0.013112949	-1.610260496	-1.57628615	-1.363586151	-1.802590771	-2.08851239	-2.038899233	-1.463375464	-1.493398748	-2.612373575	-2.734656362	-2.770958516	-2.902770886	-1.247653113	-1.242256353	-1.832830238	-2.079826056	-1.890460601	-4.510595731	-4.23833233	-2.450997205	-2.172203873	-3.475616491	-2.318438243	-3.68359914	-2.453517628	-6.51829998	-1.28806865	-1.318688682	-1.341127588	-2.105485759	-2.219940226	1.034116149	0.954852074
Proteobacteria	D0090A-S16-MaxBin2-008	-3.854271259	-3.74333961	-1.452760024	-1.408304288	-3.382377561	-3.288997342	-2.537861058	-2.917442412	-4.696551534	-4.567868717	-1.330123876	-1.290816083	-5.206127504	-5.174815073	0.019504054	0.088210126	-5.327856297	-5.334385885	-0.71669953	-0.172014053	-6.040396169	-6.715401464	-0.178668791	-0.124187298	-1.927174731	-1.816121051	-0.052676882	-0.096605904	-2.686386204	-2.644792048	-1.924852871	-2.229211953	-3.430273443	-3.396755631	-1.592001263	-1.549013541	-3.406944233	-3.589462048	-2.666176947	-2.843319423	-1.516830195	-1.511244389	-1.474958721	-1.591361524	-2.952886581	-5.502966671	-5.302765244	-3.580489623	-2.004605713	-4.318473374	-3.823238572	-4.879936086	-3.480761471	-7.966412663	-1.600708569	-2.357735025	-2.270390631	-3.309299262	-3.514459802	0.234296328	0.181523573
Marinisomatota	D0096A-S18-MaxBin2-026	-2.0657654	-1.989805751	-6.465059578	-6.51310612	-1.430433974	-1.390567715	-7.385294107	-7.99783191	-1.748623023	-1.729340312	-8.309892803	-8.315365743	-1.590264694	-1.586312229	-6.459501408	-6.417266229	-1.580859537	-1.503154743	-7.07031828	-6.794534814	-2.0970433	-2.078029172	-6.678538288	-6.725675335	-1.78395339	-1.657721315	-5.232780669	-5.827770408	-1.892476509	-1.818595284	-6.61834545	-5.872593854	-1.866081301	-1.820901621	-5.978893179	-6.016989966	-1.781032187	-1.784225733	-5.489931147	-5.705652783	-2.449501426	-2.536378958	-5.514243526	-5.588997395	-1.689075014	-9.78480906	-10.2801368	-1.838693661	-6.514273147	-2.907502446	-6.581341531	-1.739091456	-5.899097968	-1.975916029	-7.128985499	-2.200413082	-2.206641287	-5.861219258	-6.031125882	-6.62118152	-6.1194883
Verrucomicrobiota	D0096A-S18-MaxBin2-044	-3.341890512	-3.209107367	-8.427966067	-8.648439711	-2.842500742	-2.880821965	-10.37185253	-10.35687795	-2.712042394	-2.802821234	-12.29579847	-11.82368417	-2.921646975	-2.877660462	-9.407753678	-9.023584246	-2.860790696	-2.514431189	-10.13611645	-10.03690026	-3.932529432	-3.881339933	-10.24590764	-10.11349171	-3.892493258	-3.781056631	-8.551808653	-9.3270823	-2.597573243	-2.594791692	-10.01914912	-11.39668326	-2.77737245	-2.73080083	-8.209309674	-8.112368889	-3.077290611	-3.157156532	-8.233569029	-8.875213397	-3.960186046	-3.93838926	-7.6509741	-8.524653752	-2.742154885	-10.34397383	-10.42721323	-3.084081461	-9.169537258	-5.75245571	-8.622843916	-2.846829006	-8.41489354	-3.354726362	-10.00173145	-2.970891887	-3.06239623	-8.060863374	-8.176969892	-9.510475395	-8.977445955
Bacteroidota	D0100A-S19-MaxBin2-022	-7.393604997	-7.292580081	-2.659232309	-2.50884563	-6.886766297	-6.70014259	-1.15270634	-1.191316893	-9.281641119	-8.910138969	-5.313130745	-5.409109831	-8.436007844	-7.904855387	-1.338920434	-1.275251855	-8.094023407	-8.467925951	-0.986858966	-0.905402175	-7.813135572	-9.064975425	-2.107962612	-2.257843293	-4.2555074	-4.265652306	-1.954369784	-2.011086231	-7.583365652	-7.731141404	-5.734602562	-5.43927114	-8.258199756	-7.982305847	-5.467634173	-5.72272251	-8.142256468	-8.725202409	-5.425083989	-5.392858996	-6.989606212	-6.513933829	-6.013103346	-5.618383852	-8.276544159	-6.519830982	-6.396314225	-8.590899475	-5.6771218	-6.739230123	-5.854262226	-8.860143324	-6.744782033	-10.10509461	-5.567852089	-7.320729258	-7.537538253	-6.090888055	-6.2294672	-1.434039008	-1.230568827
Thermoplasmatota	D0105-bbnorm-MaxBin2-002	-2.036103233	-1.982467939	-4.755187122	-4.920703228	-1.562161794	-1.640525302	-2.979486376	-2.185641779	-1.60501565	-1.577826747	-5.263335046	-5.193047315	-1.042683378	-0.9751326	-3.308460765	-3.682110694	-0.898820477	-0.884573336	-3.426052558	-3.796960957	-1.22705864	-1.341854212	-5.051667311	-4.512793304	-2.08136923	-2.399229361	-4.117680151	-4.666101674	-1.356152657	-1.357931532	-3.08413477	-3.305129734	-1.094232093	-1.089052229	-4.325135279	-4.308577754	-1.41575563	-1.315749709	-3.996258076	-4.432015012	-2.989133275	-2.877272294	-4.990162009	-5.037807975	-1.609232179	-1.894218325	-2.438621483	-1.392229616	-4.287663085	-1.961306348	-3.666722189	-1.094820563	-3.855517066	-0.836034014	-3.105065314	-2.19836607	-2.150293789	-4.635230298	-4.764078348	-3.573144595	-3.916870033
Thermoplasmatota	D0107A-S22-MaxBin2-012	-2.790476299	-2.724816127	-10.26792368	-11.65705268	-2.757239826	-2.823380147	-11.33637872	-20.72326584	-1.566142862	-1.328036959	-10.81476179	-11.81680166	-1.861547129	-1.844354046	-10.48233745	-9.920750015	-1.666026724	-1.570223781	-11.72725851	-10.77435402	-0.780166788	-0.816701989	-11.50367696	-12.69324457	-3.711068868	-3.642478084	-9.201079249	-9.32493831	-2.643158916	-2.697588105	-20.72326584	-12.47032886	-2.348209319	-2.360657832	-9.607423497	-10.93208481	-2.762896785	-2.830927324	-7.985150059	-8.378239967	-4.645864168	-4.629338706	-8.677374092	-9.527111869	-3.23814086	-20.72326584	-20.72326584	-3.075377805	-10.68566378	-4.130030581	-7.948642015	-2.129645148	-8.488185123	-2.21391512	-11.59227808	-3.757287725	-3.660312678	-7.635014516	-7.782415991	-12.86947805	-9.576672439
Proteobacteria	D0110A-S23-MaxBin2-055	-4.85706564	-4.757457054	-2.275105334	-2.173366529	-5.20747771	-5.028317298	-5.683352603	-6.491539039	-6.161024204	-6.375578345	-2.272002679	-2.261866934	-6.397119133	-6.057683455	-2.555583511	-2.467190586	-6.705748912	-6.582521819	-3.4007325	-2.876092705	-7.148251267	-7.841550016	-1.933126571	-1.986514993	-3.154328765	-3.051416288	-2.271925431	-2.295540157	-4.687944479	-4.61286169	-4.594963947	-4.894997892	-5.298343567	-5.162711702	-4.695166121	-4.737807122	-5.133858112	-5.284455981	-5.174769999	-5.372746775	-3.642390564	-3.765238345	-4.661067008	-4.807868669	-4.233424439	-8.801579036	-8.412229755	-5.173188048	-5.012203764	-6.062955823	-6.111614873	-6.273412531	-6.589746956	-8.156197346	-3.971231596	-4.139360025	-4.094284784	-5.955357368	-6.165403354	-2.338675684	-2.429804483
Proteobacteria	D0116A-S25-MaxBin2-013	-1.604393353	-1.540991952	-1.768465526	-1.716651806	-1.228429031	-1.208594732	-3.0145928	-3.066124202	-1.564656625	-1.544030342	-3.080722328	-3.036644501	-1.503809193	-1.470354718	-2.532934532	-2.493499854	-1.49062518	-1.451828232	-3.409208979	-2.876236625	-1.798617627	-1.818401409	-1.823765371	-1.873267003	-1.190357577	-1.147156835	-2.228628552	-2.41514579	-1.480919459	-1.425485474	-3.68435395	-3.8056092	-1.468911562	-1.452349291	-2.849368502	-2.824362452	-1.539427914	-1.547882049	-3.297914676	-3.389426244	-1.552357536	-1.575013148	-2.301116262	-2.430654447	-1.339998921	-4.200344749	-5.686054144	-1.516163891	-2.771048453	-2.846022308	-4.405813062	-1.550859661	-4.583497348	-1.695570307	-2.959499578	-1.472983429	-1.508412726	-4.204123692	-4.392470422	-2.383866181	-2.393686466
Proteobacteria	D0121A-S27-MaxBin2-032	-7.702608195	-7.583001836	-4.393852526	-4.265150392	-6.560671897	-6.615759847	-4.736403992	-4.901586962	-9.317720927	-9.335321678	-3.309869375	-3.162066992	-8.104934148	-7.944844526	-1.474290116	-1.38404888	-8.029092279	-8.68141068	-2.707648817	-2.125947317	-8.229767264	-8.858101372	-1.882989814	-1.81218195	-5.435597331	-5.323705249	-1.790394415	-1.848160749	-4.98110222	-4.950962801	-3.69990934	-4.474139818	-5.917755343	-5.691241443	-3.270296075	-3.193445558	-5.921019653	-6.069127971	-3.988182766	-4.015495638	-3.510674291	-3.354974195	-3.343989177	-3.5546726	-5.539934076	-7.485041163	-6.954206107	-5.942312734	-3.983814056	-5.564619651	-5.423705095	-7.920156716	-4.523085073	-9.665697231	-3.289273048	-4.511831858	-4.411841184	-4.551929796	-4.880829199	-1.188387321	-1.278482649
Proteobacteria	D0152A-S39-MaxBin2-023	-5.062148613	-4.949866447	-5.491760572	-5.355201841	-4.790704298	-4.753304832	-4.991588187	-4.829044379	-5.985185502	-6.202463444	-6.222901292	-6.183678731	-5.741521165	-5.707812605	-5.139817985	-5.106035413	-5.57035105	-5.657603975	-5.403700549	-5.094104597	-6.717042857	-6.41993629	-5.741454654	-5.589789653	-5.1916896	-5.159337695	-5.090691352	-5.158676301	-3.610681364	-3.650394896	-3.902101437	-4.161982409	-3.775191439	-3.834735027	-2.234316528	-2.539684818	-3.287430105	-3.367687396	-1.228366728	-1.08840383	-2.71088495	-2.481248338	-2.784584691	-2.380831313	-3.489796458	-3.500594944	-3.226035217	-2.716246182	-2.177221785	-2.593923027	-2.419920118	-4.584451312	-2.733047891	-5.285166144	-3.830012236	-2.021107421	-2.253094498	-2.06928267	-2.085975836	-5.459459691	-5.139411957
None	D0153A-S40-MaxBin2-001	-4.879154555	-4.358377845	-4.489015052	-4.620727729	-3.820377304	-3.839906969	-2.40487022	-2.426684411	-5.372144612	-5.50328773	-5.049712967	-5.110221347	-4.925173501	-4.974116878	-2.598951014	-2.897939052	-4.655916998	-4.75543515	-1.906978615	-2.39105435	-4.901731698	-4.859581209	-3.614283801	-3.655629685	-4.058164776	-4.036243423	-2.809500306	-2.615901317	-3.791005783	-3.933659751	-1.546422546	-1.347833702	-3.934490674	-4.057485809	0.120927776	-0.185234839	-2.38616084	-2.618705722	2.155977377	2.22977179	-0.683627039	-0.896311304	-0.578865483	-0.362844722	-4.130660723	-1.020048308	-0.79059711	-2.421912054	0.596620036	-1.541555079	0.035957125	-4.636349962	1.255217839	-6.087767187	-2.76273739	-2.396619316	-1.708037275	0.718577911	0.643450296	-2.979678468	-3.034618497
