		1903buk1_0m-2	1903buk2_0m-1	1903buk2_0m-2	1903buk3_0m-1	1903buk3_0m-2	1903buk4_0m-1	1903buk4_0m-2	1903_buk5-1	1903_buk5-2	1903_buk6-1	1903_buk6-2	1903c111_100m-1	1903c111_100m-2	1903c111_100m-3	1903c111_10m-1	1903c111_10m-2	1903c111_5m-1	1903c111_5m	1903c114_100m-1	1903c114_100m-2	1903c114_100m-3	1903c114_10m-1	1903c114_10m-2	1903c114_5m-1	1903c114_5m-2	1903c117_100m-1	1903c117_100m-2	1903c117_100m-3	1903c117_50m-1	1903c117_50m-2	1903c117_5m-1	1903c117_5m-2	1903c118_100m-1	1903c118_100m-2	1903c118_100m-3	1903c118_23m-1	1903c118_23m-2	1903c118_5m-1	1903c118_5m-2	1903c119_100m-1	1903c119_100m-2	1903c119_100m-3	1903c119_11m-1	1903c119_11m-2	1903c119_5m-2	1903c122_100m-1	1903c122_100m-2	1903c122_100m-3	1903c122_28m-1	1903c122_28m-2	1903c122_5m-1	1903c122_5m-2	1903c123_10m-1	1903c123_10m-2	1903c123_5m-1	1903c123_5m-2	1903c123_70m-1	1903c123_70m-2	1903c123_70m-3	1903c124_100m-2	1903c124_100m-3	1903c124_15m-1	1903c124_15m-2	1903c124_5m-1	1903c124_5m-2	1903c126_100m-1	1903c126_100m-2	1903c126_100m-3	1903c126_45m-1	1903c126_45m-2	1903c126_5m-1	1903c126_5m-2	1903c127_100m-1	1903c127_100m-2	1903c127_100m-3	1903c127_5m-1	1903c127_5m-2	1903c127_7m-1	1903c127_7m-2	1903c129_100m-1	1903c129_100m-2	1903c129_100m-3	1903c129_26m-1	1903c129_26m-2	1903c129_5m-1	1903c129_5m-2	1903c134_12m-1	1903c144_13m-1	1903c144_13m-2	1903c144_5m-1	1903c144_5m-2	1903c144_60m-1	1903c144_60m-2	1903c144_60m-3	Las19c107_10m-1	Las19c107_10m-2	Las19c107_5m-1	Las19c107_5m-2	Las19c107_75m-1	Las19c107_75m-2	Las19c107_75m-3	Las19c135_13m-1	Las19c135_13m-3	Las19c135_5m-1	Las19c135_5m-2	Las19c135_70m-1	Las19c135_70m-2	Las19c135_70m-3	Las19c138_100m-1	Las19c138_100m-2	Las19c138_12m-1
Thermoplasmatota	S27C136-Lasker2021	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.125248725	-2.087089424	-1.945069955	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.51272918	-2.57452032	-2.490313106	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.573907987	-1.61569137	-1.444407739	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.748317461	-1.773101726	-1.658364583	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.832002936	-2.867983928	-3.59021034	-20.72326584	-20.72326584	-20.72326584	-1.805757155	-1.874624379	-1.752448774	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.772216325	-3.923527378	-4.017099784	-2.676086511	-2.47784221	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.262335054	-2.123000353	-1.986155219	-3.141820483	-2.98006621	-20.72326584	-20.72326584	-2.090462118	-2.505360601	-2.073227282	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.870759814	-1.950266075	-2.025729407	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.318403436	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.150612546	-3.303290059	-3.326406611	-20.72326584	-20.72326584	-20.72326584	-3.665941746	-1.771679639	-1.706835379	-2.059409051	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.360135979	-2.93471411	-2.979868669	-1.766329874	-1.72609409	-20.72326584
Thermoplasmatota	S27C165-Flyer2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.975196769	-1.957161603	-1.788100804	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.982015631	-2.075287374	-1.989739999	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.621741689	-1.430305348	-1.526752173	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.809105377	-1.902666599	-1.724998601	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.988328733	-2.023443051	-2.724314729	-20.72326584	-20.72326584	-20.72326584	-1.815367226	-1.949390732	-1.750894852	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.549596548	-3.760423405	-3.829955165	-2.146851236	-1.987292199	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.620693453	-2.376180816	-2.295322083	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.613391362	-2.157432653	-1.65387957	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.864864879	-1.938391657	-1.983050702	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.644517059	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.505672164	-2.60228211	-2.829736578	-20.72326584	-20.72326584	-20.72326584	-4.030279878	-1.968954383	-1.831879954	-2.311605142	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.704653462	-2.235105891	-2.339231017	-1.607639076	-1.600154928	-20.72326584
Bacteroidota	S27C1729-Lasker2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Proteobacteria	S27C31-Lasker2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.018529678	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.91666446	-3.145433978	-3.296988864	-20.72326584	-20.72326584	-20.72326584	-4.004334092	-4.040695706	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Bacteroidota	S27C450-Lasker2021	-20.72326584	-20.72326584	-1.112855521	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.921843291	-0.660434327	-20.72326584	-20.72326584	-20.72326584	-2.404173997	-3.375474987	-1.924155637	-2.574558462	-20.72326584	-20.72326584	-20.72326584	-1.161695993	-1.330238273	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.749767095	-2.247625418	-2.45395184	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.893258178	-1.551584227	-1.712907877	-1.802793798	-20.72326584	-20.72326584	-3.33888249	-1.224400023	-1.790652816	-2.171664196	-20.72326584	-20.72326584	-20.72326584	-2.322098028	-20.72326584	-20.72326584	-3.344536246	-20.72326584	-20.72326584	-3.625982142	-20.72326584	-20.72326584	-3.59484973	-3.026170017	-20.72326584	-20.72326584	-2.393605422	-2.668430601	-3.131120795	-2.561338452	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.533324755	-20.72326584	-20.72326584	-20.72326584	-2.590591338	-2.13451248	-1.527843313	-1.431568498	-20.72326584	-20.72326584	-20.72326584	-2.607612313	-20.72326584	-1.94442894	-3.83438784	-2.581594072	-1.6564084	-0.463740196	-0.84169858	-0.79414633	-3.789833736	-3.309748164	-3.24181797	-1.11841952	-2.562895206	-0.762799553	-1.391565425	-3.996314213	-20.72326584	-3.820793002	-2.296391006	-20.72326584	-1.963215907	-1.328561744	-2.419514707	-3.253272025	-2.79552892	-20.72326584	-20.72326584	-0.795829107
Thermoplasmatota	S27C644-Lasker2021	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.533569856	-2.462820268	-2.287440444	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.840397318	-2.875617576	-2.791387224	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.291999904	-2.410228535	-2.083595236	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.514228562	-2.573079654	-2.372408424	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.86322027	-2.874884712	-3.589683995	-20.72326584	-20.72326584	-20.72326584	-2.121060012	-2.162616642	-2.041713242	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.805733906	-3.963395566	-4.015373043	-2.658428882	-2.448757129	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.695435685	-2.555657387	-2.453502045	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.965937865	-2.367777791	-1.959384677	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.120428792	-2.182901544	-2.248325807	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.738391977	-2.836115958	-2.95362523	-20.72326584	-20.72326584	-20.72326584	-4.230378466	-2.296421169	-2.24296328	-2.653589559	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.073923658	-2.603553695	-2.653531462	-2.027380914	-1.993250701	-20.72326584
Bacteroidota	S27C670-Lasker2018	-20.72326584	-20.72326584	-1.281163756	-1.479217955	-20.72326584	-20.72326584	-20.72326584	-3.14247955	-3.333429777	-1.30701216	-1.09664581	-20.72326584	-20.72326584	-20.72326584	-3.346789711	-3.594467314	-3.091310107	-3.424784135	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.751518043	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.994845206	-3.540233302	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.006513426	-20.72326584	-20.72326584	-20.72326584	-1.630110419	-1.571285987	-2.438960744	-2.346525162	-20.72326584	-20.72326584	-20.72326584	-2.8751214	-3.909890082	-1.282536794	-2.193781981	-20.72326584	-20.72326584	-3.038104699	-2.376282711	-2.483485508	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.165106007	-1.657364507	-1.794305301	-2.122184455	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.727054725
Proteobacteria	S27C968-Lasker2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Proteobacteria	S28C156-Lasker2021	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.752818091	-3.708531782	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Thermoplasmatota	S28C165-Flyer2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.985235164	-2.03441165	-1.830281355	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.061544721	-2.119868564	-2.030000534	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.684717103	-1.474185073	-1.582785753	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.843419098	-1.961774772	-1.777252303	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.053443861	-2.100230862	-2.819104378	-20.72326584	-20.72326584	-20.72326584	-1.875888046	-2.005211552	-1.828045697	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.604847618	-3.865997421	-3.816615694	-2.194095409	-2.023037156	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.673564126	-2.433489984	-2.358325831	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.684211023	-2.206389387	-1.689542771	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.923809393	-2.012189548	-2.029433826	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.651430695	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.562168445	-2.657338228	-2.851866918	-20.72326584	-20.72326584	-20.72326584	-4.025765384	-2.008950639	-1.90066385	-2.351569045	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.745612031	-2.259975024	-2.372134323	-1.631738528	-1.616265664	-20.72326584
Proteobacteria	S28C271-Lasker2021	-20.72326584	-20.72326584	-2.447004263	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.007539015	-1.022842009	-2.602544882	-3.182373322	-20.72326584	-20.72326584	-20.72326584	-2.467402179	-2.407428287	-2.514842662	-2.364749145	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.999092865	-20.72326584	-2.929802015	-3.016276243	-2.84548888	-20.72326584	-20.72326584	-20.72326584	-4.595135106	-1.578773988	-1.599138133	-1.419990964	-1.335853746	-20.72326584	-20.72326584	-3.186485525	-20.72326584	-3.01288885	-3.132853164	-20.72326584	-20.72326584	-20.72326584	-2.128305276	-1.433966175	-1.10951547	-1.426151192	-3.537010335	-3.643053909	-3.679015939	-3.541960886	-3.312181433	-3.097549496	-3.137313787	-4.705218393	-4.489727041	-3.265155707	-3.508616248	-2.847416136	-2.867638857	-20.72326584	-20.72326584	-20.72326584	-1.700157241	-1.698057121	-1.124675756	-1.403551448	-20.72326584	-20.72326584	-20.72326584	-2.283358897	-2.30073814	-3.302893207	-3.259518122	-20.72326584	-20.72326584	-20.72326584	-1.626418363	-1.556643723	-1.6164378	-1.438236957	-2.50153407	-2.33001661	-3.320260477	-2.519496591	-2.567091267	-20.72326584	-20.72326584	-20.72326584	-3.17220803	-2.816746876	-3.455084479	-3.114068207	-4.80045699	-20.72326584	-20.72326584	-2.711897226	-20.72326584	-2.780465164	-3.182143518	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.009184267
Proteobacteria	S28C294-Lasker2021	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.337342454	-1.298326595	-3.833389752	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.687392924	-2.604950967	-2.626173747	-2.467325948	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.325769766	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.058255785	-2.187035563	-1.919108292	-1.917552236	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.572177239	-1.091901156	-1.633107741	-1.77455686	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.52451113	-3.418670104	-20.72326584	-20.72326584	-20.72326584	-2.596114481	-2.558682572	-1.649287042	-1.813774424	-20.72326584	-20.72326584	-20.72326584	-3.10169417	-3.18122844	-3.914618671	-3.954911457	-20.72326584	-20.72326584	-20.72326584	-2.169414032	-2.127307747	-2.391408493	-2.219115271	-3.162885359	-20.72326584	-20.72326584	-4.294929288	-4.213723749	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.893220059	-20.72326584	-20.72326584	-20.72326584	-3.233534287	-20.72326584	-3.404727626	-3.765236748	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
None	S28C347-Lasker2021	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Proteobacteria	S29C156-Lasker2021	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.813013132	-3.701085283	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Thermoplasmatota	S29C165-Flyer2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.015842704	-2.037824617	-1.879811963	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.110528979	-2.169535007	-2.096808429	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.697462288	-1.512752084	-1.61799209	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.9309736	-1.988931585	-1.826075977	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.090587136	-2.13698548	-2.852916269	-20.72326584	-20.72326584	-20.72326584	-1.896873409	-2.032267532	-1.863982797	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.627036225	-4.021284676	-3.891885434	-2.249487827	-2.07792109	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.676627394	-2.446402913	-2.401502179	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.719309248	-2.24491258	-1.721015374	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.96499633	-2.017449979	-2.059975198	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.685070637	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.550821016	-2.689536846	-2.858037022	-20.72326584	-20.72326584	-20.72326584	-4.112509612	-2.043991382	-1.917098221	-2.370611546	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.768413754	-2.289230356	-2.406891265	-1.665812934	-1.664418412	-20.72326584
Proteobacteria	S29C168-Lasker2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.842500013	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.912516677	-4.029806254	-3.971647168	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.530954577	-4.27978692	-4.481248078	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.424573533	-4.357276268	-4.399183618	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.164636048	-4.252621865	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-5.009764753	-4.984804695	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.633009735	-4.521180662	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-5.117031563	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-5.20159916	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.146831085	-3.202402582	-3.388810566	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.527718524	-4.1871387	-4.330079098	-4.427311573	-4.392288306	-20.72326584
