		RL2103c001_100m-2	RL2103c001_48m-1	RL2103c001_5m-1	RL2103c002_100m-1	RL2103c002_48m-3	RL2103c002_5m-1	RL2103c009_20m-1	RL2103c009_40m-1	RL2103c009_5m-3	RL2103c010_25m-3	RL2103c010_50m-2	RL2103c010_5m-1	RL2103c014_25m-3	RL2103c014_55m-2	RL2103c014_5m-1	RL2103c015_30m-2	RL2103c015_5m-1	RL2103c015_80m-3	RL2103c019_100m-1	RL2103c019_44m-2	RL2103c019_5m-2	RL2103c023_5m-2	RL2103c023_60m-1	RL2103c024_100m-2	RL2103c024_40m-1	RL2103c024_5m-1	RL2103c025_100m-2	RL2103c025_40m-2	RL2103c025_5m-1	RL2103c032_5m-3	RL2103c032_66m-3	RL2103c032_80m-1	RL2103c033_100m-3	RL2103c033_35m-3	RL2103c033_5m-1	RL2103c034_100m-2	RL2103c034_34m-1	RL2103c044_100m-3	RL2103c044_52m-2	RL2103c044_5m-3	RL2103c045_100m-2	RL2103c045_23m-2	RL2103c045_5m-1	RL2103c046_15m-3	RL2103c046_30m-2	RL2103c046_5m-3	RL2103c049_23m-1	RL2103c049_5m-1	RL2103c049_93m-2	RL2103c050_100m-2	RL2103c050_21m-2	RL2103c050_5m-3	RL2103c067_100m-1	RL2103c067_57m-2	RL2103c067_5m-3	RL2103c068_37m-3	RL2103c068_5m-3	RL2103c071_5m-2	RL2103c071_68m-2	RL2103c072_100m-2	RL2103c072_35m-2	RL2103c072_5m-1	RL2103c074_100m-1	RL2103c074_13m-1	RL2103c074_5m-1	RL2103c077_19m-1	RL2103c077_5m-2	RL2103c077_70m-1	RL2103c078_100m-2	RL2103c078_27m-2	RL2103c078_5m-2	RL2103c081_45m-2	RL2103c081_5m-2	RL2103c088_51m-2	RL2103c088_5m-1	RL2103c089_100m-3	RL2103c089_20m-1	RL2103c089_5m-2	RL2103c090_100m-3	RL2103c090_53m-1	RL2103c090_5m-2
Proteobacteria	D0068A-S7-MaxBin2-037	0.002354852	0.004760265	0.00438109	0.002572679	0.004059659	0.005024469	0.008187157	0.005658027	0.009923	0.005049578	0.001879133	0.005189639	0.016641835	0.019863619	0.04646933	0.029804602	0.04753154	0.004605037	0.000790076	0.010496818	0.04093228	0.06966227	0.008325445	0.006176055	0.01283507	0.011288489	0.001222871	0.007165583	0.006981763	0.011837398	0.0035164	0.002810931	0.000897411	0.007779315	0.008824413	0.000371388	0.003353474	0.000639974	0.001727776	0.003369802	0.000742445	0.004325776	0.006053142	0.028943539	0.048653662	0.034959104	0.001422207	0.00234583	0.000283443	5.54E-05	0.000682948	0.000678144	0.001292335	0.026630329	0.032206077	0.033906903	0.028098343	0.009401946	0.028383082	0.000240118	0.012230196	0.019000644	0.001186823	0.011320213	0.008064509	0.00736981	0.003134819	0.003117416	0.000907592	0.006473467	0.005332053	0.004137349	0.012149883	0.00642213	0.004923364	0.007954231	0.006943688	0.006354335	0.000124874	0.005222884	0.006187799
Thermoplasmatota	D0073A-S9-MaxBin2-002	0.029029801	0.005928707	0.003294947	0.04322706	0.002364063	0.016737144	0.002175659	0.004537448	0.001042294	0.004032868	0.04880293	0.001529433	0.019563396	0.041291334	0.002926334	0.01163262	0.001969155	0.082545966	0.10779725	0.08350423	0.005288275	0.003842498	0.11305748	0.043401137	0.00529465	0.003276956	0.07594056	0.02438607	0.012277005	0.011456452	0.083314426	0.08730355	0.0942632	0.020751147	0.008120894	0.16407943	0.031513587	0.117690474	0.103322245	0.002600725	0.11584952	0.002247925	0.001785394	0.003696834	0.002605729	0.004305227	0.027566701	0.002298708	0.091143094	0.120963395	0.002742841	0.001876089	0.090845376	0.007131786	0.001930693	0.008772612	0.002922674	0.00236908	0.02795971	0.113817684	0.040836528	0.004042427	0.13433197	0.002089956	0.002407413	0.002128006	0.003699468	0.06623741	0.12274683	0.010972733	0.002868965	0.0155769	0.001996688	0.001823313	0.003159048	0.004920325	0.001719978	0.001711266	0.13714883	0.006914627	0.004542636
SAR324	D0073A-S9-MaxBin2-038	0.011947916	0.001444295	0.000297818	0.018396366	0.000294335	1.93E-05	0.000117914	0.000469007	3.33E-05	0.000696361	0.00864301	8.83E-05	0.008525217	0.011166233	0.000544216	0.005717422	0.000792834	0.023816595	0.039545838	0.019743284	0.001953534	0.0011995	0.024341485	0.014424758	0.000448776	0.000313373	0.015055769	0.007501904	0.002377759	0.003513063	0.026510227	0.03260347	0.035036	0.007945623	0.00299731	0.044212632	0.008272037	0.054608334	0.021836584	0.000227073	0.050278038	4.32E-05	2.83E-05	0.000286974	0.0005618	0.000217537	0.012217043	0.000122428	0.071331	0.07993837	0.000798264	9.47E-06	0.03588426	0.006101218	7.69E-05	0.004963291	0.000413367	0.000152971	0.011915447	0.060398687	0.011884541	0.000153127	0.0274383	0.000213592	6.16E-05	0.000542948	0.000109405	0.01451715	0.040161293	0.004603477	0.00032462	0.005599585	1.53E-05	8.83E-05	0.000391462	0.003913189	0.000916876	0.000955563	0.04099816	0.003718225	0.002912769
Bacteroidota	D0073A-S9-MaxBin2-048	0.16971146	0.011133227	0.004488367	0.11960112	0.003103579	0.001275616	0.009120069	0.01538941	0.002422081	0.013181317	0.1712124	0.001944687	0.10495868	0.17133796	0.013831461	0.044486046	0.013483594	0.16376357	0.10315469	0.094100684	0.017507272	0.016079133	0.085699	0.07215511	0.006089842	0.007428422	0.111432336	0.11304925	0.020365817	0.04674501	0.15770878	0.19373114	0.14352407	0.048251033	0.027145147	0.14896172	0.109389275	0.06570206	0.11368472	0.009461922	0.067285016	0.006757583	0.007188077	0.007613007	0.010741094	0.005787862	0.07452986	0.004972865	0.09448058	0.07237372	0.041851245	0.003222184	0.11458285	0.01878764	0.003862727	0.01660227	0.006876585	0.007334859	0.042465687	0.06553749	0.052271523	0.007053569	0.086410016	0.010700198	0.007951178	0.006506693	0.001476706	0.25243518	0.1682897	0.03358837	0.005377291	0.081221454	0.001706868	0.006052197	0.008615435	0.032750446	0.009830199	0.008783946	0.100739874	0.015070722	0.013500128
SAR324	D0074A-S10-MaxBin2-037	0.013707334	0.001777062	0.000434538	0.02100859	0.000465095	3.54E-05	0.000170805	0.000558079	2.76E-05	0.000842608	0.009815124	0.000151037	0.010492822	0.012029088	0.000687591	0.006628491	0.0010986	0.025101412	0.04091648	0.022670906	0.002474582	0.001894123	0.028097443	0.015815314	0.000756544	0.000523745	0.018514333	0.010381426	0.002987941	0.004154941	0.02830587	0.034548596	0.03587581	0.009215457	0.003713622	0.047567602	0.010741525	0.05663257	0.02509005	0.000266317	0.052506793	5.54E-05	1.98E-05	0.000387663	0.000629037	0.000266292	0.013129026	0.000134216	0.07291172	0.08240788	0.0010662	9.88E-06	0.03664261	0.006219656	0.000125322	0.005106153	0.000502291	0.000196014	0.012561525	0.06170899	0.013413881	0.000230131	0.028409207	0.000258485	9.49E-05	0.000721435	0.000148418	0.015752193	0.041029584	0.006447836	0.000415061	0.006131691	1.30E-05	0.000116055	0.000521542	0.004682669	0.001214379	0.001140702	0.04222811	0.004074696	0.003342398
Proteobacteria	D0078A-S11-MaxBin2-028	0.007992531	0.01265708	0.004101135	0.007405645	0.012307646	0.012704283	0.011345485	0.011318401	0.011230345	0.009743711	0.007349737	0.012293628	0.011547832	0.010128737	0.016105248	0.013278271	0.017156603	0.00477475	0.002535058	0.005413444	0.01490406	0.014935437	0.004697306	0.006956638	0.008847021	0.009072594	0.003541533	0.009977395	0.009088848	0.009845723	0.004203245	0.0038197	0.002640886	0.010035018	0.01122115	0.001949131	0.006673801	0.001992034	0.003753299	0.007788553	0.002623497	0.007258042	0.007213293	0.010175952	0.012581202	0.009595696	0.007646246	0.006636604	0.002278309	0.001408273	0.007439306	0.011821285	0.002868234	0.010961426	0.013135841	0.011764379	0.012246679	0.008825295	0.009250571	0.001858204	0.008341456	0.010072539	0.002887595	0.011745984	0.010475732	0.011865155	0.006218878	0.006512378	0.001716928	0.010065557	0.007815077	0.007825081	0.007679556	0.008309972	0.008871079	0.005323125	0.008689477	0.00874319	0.0015186	0.008588644	0.00935983
Actinobacteriota	D0089A-S15-MaxBin2-008	0.2695322	0.44105104	0.14816844	0.32512513	0.21495451	0.12135469	0.48570836	0.42886052	0.53917974	0.70412874	0.25495312	0.7271102	0.30014917	0.22033586	0.21512091	0.26967618	0.2590435	0.14183186	0.05766783	0.2602276	0.32939705	0.31585407	0.12360387	0.41684347	0.351565	0.42963925	0.18240099	0.25253537	0.47876006	0.48005387	0.10519207	0.10000762	0.058265675	0.5067481	0.6379739	0.009593142	0.39352927	0.0365948	0.3006487	0.75330275	0.049445637	0.6823597	0.77196157	0.46083727	0.57128394	0.3903766	0.81015706	1.2096773	0.028775418	0.022113945	1.0735466	0.8412955	0.03519264	0.6054094	0.89590406	0.72853595	0.8583392	0.7022102	0.41568914	0.015407778	0.43808535	0.6712229	0.07163825	0.7046711	0.6510776	0.58722335	0.5444257	0.116552755	0.00133973	0.36108178	0.4819406	0.2780788	0.32871914	0.53799415	0.4593264	0.22634181	0.2306677	0.23420367	0.005459194	0.20255975	0.29473776
Proteobacteria	D0090A-S16-MaxBin2-002	0.312545	0.26133224	0.11643004	0.25897032	0.16879436	0.19206809	0.37904748	0.3117986	0.49363005	0.3504654	0.16579358	0.35340992	0.29878956	0.49249592	0.3708719	0.40716708	0.4848568	0.33717182	0.19154413	0.25344935	0.40427297	0.37919724	0.16594383	0.6150294	0.30551282	0.33003387	0.12715198	0.3185552	0.2576469	0.38137534	0.22316305	0.23419568	0.14310232	0.33291766	0.37278348	0.00656169	0.15324785	0.084411606	0.26415202	0.43996617	0.16308588	0.5024129	0.5446709	0.8720854	1.0516887	0.747733	0.97972965	1.4837909	0.07907159	0.023903815	0.44357547	0.5067492	0.11154507	0.98677325	1.5943829	1.1035722	1.2542663	0.85641927	0.7144354	0.055685163	0.63788015	0.89140296	0.2565271	0.59529823	0.60324454	0.48764753	0.22977	0.39187902	0.003249015	0.19482006	0.25704917	0.33850497	0.3750009	0.29194027	0.286261	0.21460867	0.22796492	0.21667454	0.008289387	0.27901322	0.26275432
Proteobacteria	D0090A-S16-MaxBin2-008	0.1459413	0.18655495	0.06488614	0.1566165	0.09454267	0.045968305	0.2852879	0.20214473	0.45059368	0.36191028	0.093358174	0.5401161	0.11727252	0.13696763	0.17435408	0.20360832	0.23214439	0.115171164	0.05324278	0.15435073	0.27210587	0.24437024	0.09186783	0.3632984	0.3295544	0.4103708	0.097310625	0.19678849	0.37153515	0.24387997	0.07739186	0.07622188	0.04640636	0.3308857	0.34151533	0.004717477	0.17463033	0.027396142	0.1628773	0.3091097	0.042430762	0.34735835	0.3789102	0.4947445	0.5865586	0.4147243	0.6849418	1.0809237	0.023864748	0.009886477	0.44066095	0.42443967	0.037283596	0.6364613	0.86755294	0.74882793	0.8736056	0.62911886	0.41350746	0.012609368	0.39333147	0.6146685	0.059569888	0.48518395	0.5043603	0.35692033	0.24760774	0.07412989	0.000394032	0.22291075	0.391095	0.13174437	0.25039843	0.25626698	0.22460319	0.121328376	0.14826493	0.15495828	0.002384558	0.15935095	0.17914069
Marinisomatota	D0096A-S18-MaxBin2-026	0.07438964	0.006549195	0.005006329	0.06628	0.00090414	0.000254148	0.003157061	0.008502175	0.000966248	0.007140375	0.09742489	0.002113113	0.05235235	0.08476653	0.003431733	0.020969715	0.003269946	0.1188039	0.16185908	0.12264847	0.011487668	0.011926708	0.16148408	0.080899596	0.002644398	0.002029167	0.12091234	0.026458297	0.007219047	0.036905095	0.12920268	0.13797812	0.1322833	0.041429676	0.021347158	0.21791944	0.050856445	0.13844457	0.12175517	0.003246571	0.18120621	0.001083407	0.001295965	0.003556086	0.004815927	0.003254163	0.055438068	0.002166254	0.15558434	0.16703692	0.017601892	0.0010128	0.17272687	0.021740176	0.002325038	0.021937724	0.006091387	0.004317647	0.049354088	0.17009316	0.06881429	0.002867848	0.15341854	0.003556782	0.002327681	0.005698821	0.004364502	0.122622535	0.06710109	0.015725184	0.002507993	0.029493477	0.000747291	0.002123532	0.005983585	0.018919136	0.006043842	0.006744529	0.1393162	0.013642816	0.013066681
Verrucomicrobiota	D0096A-S18-MaxBin2-044	0.020766178	0.00069766	0.000289189	0.021195088	5.51E-05	1.49E-05	0.000335847	0.001190574	4.84E-05	0.001026255	0.024929848	0.000198585	0.007035174	0.012264796	0.000326722	0.004035718	0.000385232	0.037283782	0.061578706	0.033234097	0.002008429	0.002471964	0.041880313	0.016428618	0.000414389	0.000373277	0.036775123	0.007437555	0.001499224	0.007903189	0.03616169	0.034589216	0.043385163	0.004862004	0.003748209	0.041070133	0.011845371	0.030602587	0.01680308	0.00044894	0.06334532	5.61E-05	7.00E-05	0.00063348	0.000795071	0.000511841	0.0094289	0.000164517	0.07104939	0.03652215	0.000320867	9.29E-06	0.076621145	0.004351959	5.25E-05	0.002792319	0.000371507	0.000600618	0.015365589	0.07607801	0.020413285	0.000494404	0.10584994	0.00055237	0.000209627	0.000699045	0.000449859	0.028563123	0.020209529	0.003194018	0.000291451	0.007663771	4.97E-05	0.000152888	0.000960194	0.00214729	0.000707277	0.000922407	0.04267433	0.003556829	0.003105648
Bacteroidota	D0100A-S19-MaxBin2-022	0.000976256	0.0011036	0.000722848	0.000855261	0.000868236	0.000743476	0.001752407	0.0009945	0.002812526	0.00138976	0.000524484	0.001949274	0.000585815	0.000955478	0.000879525	0.000582919	0.001708103	0.000797649	0.000500882	0.000792638	0.001321928	0.001587567	0.000432049	0.001308528	0.000864932	0.00129413	0.000274188	0.000793997	0.0016514	0.001192624	0.000474635	0.000477906	0.000290603	0.001128215	0.001159291	0.000120681	0.000517708	0.000717938	0.002805961	0.014097948	0.000595955	0.013602039	0.017436687	0.00208676	0.003902156	0.002784229	0.05610175	0.10528582	0.001482109	0.00088255	0.06637813	0.17523694	0.000519663	0.027287308	0.12545969	0.033934105	0.04048319	0.003853709	0.002698276	0.000132958	0.002621141	0.004381956	0.000398259	0.00492679	0.004685242	0.000890067	0.001422827	0.001022885	0.000282875	0.000722138	0.000892136	0.001349886	0.005172988	0.002817733	0.001853001	0.001604072	0.000976116	0.000902109	1.67E-05	0.001103403	0.001076135
Thermoplasmatota	D0105-bbnorm-MaxBin2-002	0.04661594	0.012433498	0.001632127	0.06980559	0.005213209	0.042178717	0.005624402	0.007539949	0.002911527	0.007890691	0.07843991	0.002002904	0.027525527	0.05598828	0.006183954	0.018341342	0.003331728	0.22658832	0.32466498	0.11257852	0.007981706	0.005744048	0.16148396	0.06131567	0.012063965	0.00720155	0.0764423	0.019426258	0.010421841	0.014939819	0.1881265	0.21671723	0.28779474	0.033291925	0.012088941	0.35951418	0.025613664	0.21679331	0.07223574	0.007257985	0.23581758	0.007531011	0.005574594	0.010701193	0.00579371	0.011590077	0.03198671	0.00528755	0.28922805	0.2148357	0.004614748	0.005034669	0.257922	0.011454785	0.006682637	0.012499269	0.009483081	0.006683155	0.05645563	0.31067687	0.04994994	0.011418895	0.35908136	0.005211935	0.007005128	0.003281249	0.006656256	0.16854437	0.36242875	0.01277452	0.007792643	0.03861411	0.006405719	0.004732544	0.005170422	0.008325569	0.003274252	0.002530951	0.49627548	0.01205471	0.008917693
