		D0052A	D0053A	D0057A	D0058A	D0063A	D0064A	D0068A	D0069A	D0073A	D0074A	D0078A	D0079A	D0085A	D0086A	D0089A	D0090A	D0095A	D0096A	D0100A	D0101A	D0105A	D0107A	D0110A	D0111A	D0116A	D0117A	D0121A	D0122A	D0127A	D0128A	D0132A	D0133A	D0137A	D0138A	D0142A	D0143A	D0147A	D0148A	D0152A	D0153A	D0158A	D0159A	D0163A	D0164A	D0167A	D0173A	D0174A	D0177A	D0182A	D0187A	D0192A	D0198A	D0203A	D0208A	D0213A	D0270A	D0271A	D0275A	D0276A	D1030A	D1031A
Proteobacteria	D0068A-S7-MaxBin2-037	0.000671661	0.000580463	0.003816606	0.003287869	0.001282775	0.00120221	0.12931216	0.14200868	9.92E-05	8.11E-05	0.000337123	0.000348373	0.000133962	0.000197019	0.00814795	0.008347311	0.000204343	0.000260161	0.006363939	0.009444763	2.75E-05	3.84E-05	0.00178254	0.00187989	0.00241844	0.002350045	0.004616979	0.00433593	0.004135992	0.003885047	0.016681772	0.011096906	0.002233408	0.002247519	0.018929895	0.0163871	0.001126822	0.000944606	0.015582481	0.017122626	0.005932101	0.008389412	0.012159469	0.011826911	0.001369336	0.005307462	0.008439306	0.001226229	0.012735724	0.008899235	0.018050337	0.000305319	0.012666388	1.87E-05	0.011928409	0.004840625	0.00478483	0.018672463	0.01739155	0.006339156	0.007886122
Thermoplasmatota	D0073A-S9-MaxBin2-002	0.11562975	0.11797457	0.002696329	0.002474849	0.114942454	0.110490695	0.021091025	0.043563545	0.15771344	0.121733755	0.001642044	0.001843512	0.13328843	0.14186752	0.012668275	0.008585875	0.14470541	0.15368126	0.009215704	0.007998345	0.085287295	0.08419077	0.002273609	0.004474174	0.09518765	0.089871764	0.004996033	0.004151607	0.11886206	0.11885968	0.017780345	0.014347982	0.13328758	0.13557968	0.005555381	0.005343348	0.116550334	0.11606458	0.004008467	0.004614754	0.039814558	0.040466994	0.003046844	0.002468378	0.11515634	0.045431614	0.02632511	0.098148726	0.00514589	0.05982125	0.009884195	0.13051015	0.009081701	0.104395255	0.017465234	0.071087494	0.07015249	0.004007132	0.004085985	0.010325527	0.006384588
SAR324	D0073A-S9-MaxBin2-038	0.0409308	0.04577005	0.000380017	0.000321658	0.03185778	0.030890143	2.04E-05	1.33E-05	0.10694794	0.07771836	1.79E-05	1.08E-05	0.0563233	0.05738159	9.23E-05	6.30E-05	0.060535125	0.06413976	0.000343845	0.000504751	0.092865065	0.09344409	3.84E-05	3.09E-05	0.023511946	0.025476767	0.000469472	0.000694531	0.026670199	0.027762685	2.05E-05	4.25E-05	0.031229243	0.03219732	0.000153977	0.000107929	0.030659428	0.029745897	9.14E-05	8.48E-05	0.010524348	0.010066353	0.000216735	7.35E-05	0.026067387	0.000406645	0.00045242	0.024709767	1.69E-05	0.003275292	0.000910591	0.043415062	9.18E-05	0.04027047	0.001269065	0.013284439	0.014067948	0.000137069	8.42E-05	6.00E-05	7.40E-05
Bacteroidota	D0073A-S9-MaxBin2-048	0.074944206	0.120245755	0.008012638	0.007481575	0.09828074	0.10759326	0.001657399	0.001007363	0.10765849	0.09138974	0.001381408	0.001278411	0.062704526	0.06415244	0.003162076	0.004048643	0.061577965	0.06349028	0.001290987	0.001787744	0.027710402	0.030494438	0.002858066	0.0026961	0.23976062	0.24559218	0.014173332	0.009327201	0.10902953	0.11176619	0.001086959	0.000881368	0.090753324	0.0892348	0.00489282	0.003922253	0.0759579	0.0746157	0.014399577	0.012819308	0.103551224	0.10278225	0.005469238	0.004798779	0.13948973	0.00012491	0.000192199	0.056970693	0.001689216	0.057156008	0.015596191	0.053271323	0.003437396	0.04395791	0.006578497	0.09592071	0.10033543	0.011194165	0.010350167	0.003034615	0.004357553
SAR324	D0074A-S10-MaxBin2-037	0.04253414	0.047830515	0.00061247	0.00045846	0.03282561	0.033046383	4.24E-05	1.03E-05	0.07550193	0.11408444	1.19E-05	3.39E-05	0.057759028	0.057934664	0.000219103	9.08E-05	0.061228607	0.0647029	0.000621003	0.000764406	0.09335338	0.09459327	4.63E-05	4.40E-05	0.025689337	0.027837329	0.000708616	0.000917837	0.027613645	0.028641976	4.81E-05	3.22E-05	0.03211854	0.03294314	0.000172014	0.000182555	0.032029007	0.030791016	0.000102748	6.38E-05	0.011772548	0.011006223	0.000231047	5.58E-05	0.027335593	0.000584185	0.000883027	0.025320912	3.70E-05	0.00337219	0.001243253	0.044348326	0.000151942	0.040093713	0.002049432	0.014586296	0.015582301	0.000116694	0.000107451	5.59E-05	9.28E-05
Proteobacteria	D0078A-S11-MaxBin2-028	0.00176987	0.001955582	0.012102609	0.01359184	0.003092677	0.003093249	0.005051048	0.005422807	0.00176354	0.001833546	0.21769007	0.2456121	0.001511568	0.001660222	0.038615547	0.040576924	0.001687404	0.00189773	0.024303908	0.036927056	0.00120037	0.001174231	0.03367649	0.038378704	0.003481335	0.003857974	0.03395519	0.034710396	0.003527187	0.003537115	0.009446524	0.006227944	0.00281514	0.002838683	0.012174511	0.011948978	0.00230323	0.002062585	0.009326319	0.010353705	0.006648275	0.008153032	0.010959793	0.011492583	0.00304394	0.001774022	0.002385022	0.00280403	0.010288765	0.00470525	0.008660882	0.001721181	0.007326126	0.001243406	0.015271875	0.006082315	0.006211978	0.012339761	0.01096112	0.037408467	0.040442053
Actinobacteriota	D0089A-S15-MaxBin2-008	0.04163528	0.044381168	0.6553718	0.7119341	0.052567508	0.05811012	0.38069457	0.3076703	0.012691018	0.014798574	0.2610714	0.2533782	0.010235452	0.010568266	0.8660688	0.9095839	0.008985066	0.009480754	0.41633815	0.72567266	0.005251521	0.002301879	0.9682621	0.9266532	0.25459433	0.27660117	0.8776994	0.81355274	0.06953165	0.070144214	0.20787285	0.16533102	0.033680614	0.035497185	0.33189538	0.35483795	0.040686887	0.032429174	0.20359744	0.19699465	0.27067932	0.28680876	0.54560065	0.59385395	0.062453635	0.005167893	0.006454402	0.03462988	0.36636245	0.04153442	0.06592005	0.01115192	0.057490237	0.001090521	0.39817023	0.12305837	0.12723167	0.08006073	0.06649361	1.0188527	0.9966314
Proteobacteria	D0090A-S16-MaxBin2-002	0.04285313	0.053045813	0.21437795	0.22188412	0.103456706	0.10801496	0.105029084	0.10347976	0.015276555	0.01478528	0.05356194	0.055745207	0.012385793	0.014211701	2.3187919	2.399234	0.011897094	0.011175266	1.0629725	1.6948898	0.003707703	0.002383552	0.61412174	0.64396393	0.19705139	0.2238381	1.044689	1.0131993	0.19983555	0.20674148	0.255742	0.16487119	0.12387127	0.13017192	0.23145369	0.22460797	0.07336021	0.06491631	0.06260197	0.054870967	0.28717798	0.288732	0.1599602	0.124951944	0.15100224	0.010991909	0.014431638	0.086207576	0.11392626	0.030942751	0.098427184	0.025132356	0.08599057	0.001476176	0.27580294	0.26748583	0.26155058	0.1217865	0.1086156	2.8126192	2.5982862
Proteobacteria	D0090A-S16-MaxBin2-008	0.021189038	0.023674905	0.23392376	0.24455763	0.0339666	0.03729122	0.07903527	0.054071803	0.009126695	0.010380058	0.2644445	0.27504623	0.005482864	0.005657262	1.0196955	1.0922176	0.004854464	0.00482287	0.48836142	0.84196734	0.002380615	0.001212098	0.83638287	0.8832144	0.14555886	0.16265546	0.9486865	0.90791374	0.06812669	0.07102012	0.14589722	0.1076132	0.032378085	0.03348172	0.20351791	0.21245745	0.03314232	0.02761318	0.069517486	0.058232047	0.21940626	0.22063525	0.22878817	0.20364815	0.05218884	0.004074664	0.004977809	0.027862052	0.1347134	0.013320202	0.0218569	0.007597499	0.03078396	0.00034692	0.20175351	0.094634324	0.10327183	0.03654177	0.029763876	1.264019	1.1990428
Marinisomatota	D0096A-S18-MaxBin2-026	0.12672126	0.13672198	0.001556898	0.001483863	0.23920509	0.24893394	0.000620307	0.00033619	0.17401339	0.1774014	0.000246069	0.000244726	0.20387164	0.20467903	0.001565575	0.001633114	0.20579813	0.22242735	0.000849962	0.001119878	0.12281903	0.12517667	0.001257614	0.001199709	0.16797277	0.19057274	0.005338659	0.002944634	0.15069814	0.16225351	0.001335638	0.00281556	0.15472881	0.16187973	0.002531626	0.002436993	0.16846417	0.16792703	0.004128127	0.003327104	0.08633662	0.079152495	0.004028973	0.003738774	0.18469028	5.63E-05	3.43E-05	0.15902503	0.001482132	0.054611955	0.001385988	0.17567994	0.002741916	0.13863426	0.000801531	0.110757396	0.11006972	0.002847768	0.002402786	0.001331855	0.00219958
Verrucomicrobiota	D0096A-S18-MaxBin2-044	0.035370026	0.040392652	0.000218665	0.000175399	0.05827974	0.05608864	3.13E-05	3.18E-05	0.06640105	0.060638744	4.57E-06	7.33E-06	0.053844932	0.056266245	8.21E-05	0.000120532	0.057223495	0.08090892	3.96E-05	4.38E-05	0.019594047	0.020623172	3.55E-05	4.05E-05	0.020394433	0.022798588	0.000193194	8.90E-05	0.07445404	0.074661426	4.45E-05	1.12E-05	0.06220173	0.06516708	0.000272108	0.000299807	0.046083946	0.042546548	0.000265586	0.000139811	0.019059567	0.019479565	0.00047558	0.000198512	0.064431354	3.22E-05	2.96E-05	0.045772057	0.000104164	0.003174973	0.000179947	0.058028035	0.000221542	0.034918923	4.53E-05	0.051257573	0.046775475	0.000315653	0.000281051	7.41E-05	0.000126224
Bacteroidota	D0100A-S19-MaxBin2-022	0.000615173	0.000680569	0.07000194	0.081362106	0.00102121	0.001230735	0.315781	0.3038209	9.31E-05	0.000135012	0.004926478	0.004475622	0.000216913	0.000368947	0.2621285	0.2793606	0.000305358	0.000210099	0.37274566	0.40437922	0.000404387	0.000115645	0.121485226	0.10457578	0.01418589	0.014042703	0.14165372	0.13384321	0.000508845	0.000438942	0.003232166	0.004342646	0.000259124	0.00034145	0.004221206	0.003270793	0.000290979	0.000162439	0.004404695	0.004548948	0.000921408	0.001482635	0.002446483	0.003630503	0.000254414	0.001473917	0.001667692	0.000185788	0.003423397	0.001183557	0.00286765	0.000141934	0.001177004	4.09E-05	0.003818673	0.000661679	0.000532706	0.002263397	0.001970501	0.2383443	0.29212636
Thermoplasmatota	D0105-bbnorm-MaxBin2-002	0.13053639	0.13772891	0.008606933	0.007293999	0.20968229	0.19387817	0.050818928	0.11240557	0.20088641	0.20642322	0.005178006	0.005555052	0.3525075	0.37714234	0.036572423	0.025169792	0.4070495	0.4128903	0.032515038	0.02243886	0.29315358	0.2613606	0.006398655	0.01096778	0.12475927	0.09078789	0.016282242	0.009408876	0.25765014	0.25719222	0.045769617	0.03669445	0.3347966	0.3365353	0.013231759	0.013452668	0.24274212	0.26827312	0.018384302	0.011890505	0.05033104	0.05628809	0.006804561	0.006487954	0.20004115	0.15043588	0.087281086	0.24852058	0.013736989	0.14067453	0.025560113	0.33459964	0.021162657	0.43342608	0.04482159	0.11098435	0.11644994	0.009703871	0.008530746	0.028067453	0.019903293
Thermoplasmatota	D0107A-S22-MaxBin2-012	0.061391965	0.065558255	3.47E-05	8.66E-06	0.063466705	0.059404805	1.19E-05	0	0.20884919	0.26499695	2.01E-05	7.38E-06	0.15543197	0.15812743	2.80E-05	4.91E-05	0.18899651	0.20799863	8.07E-06	2.09E-05	0.45832956	0.4418866	1.01E-05	3.07E-06	0.024451373	0.026187368	0.000100929	8.92E-05	0.0711362	0.0673678	0	3.84E-06	0.09554009	0.09435813	6.72E-05	1.79E-05	0.06310869	0.058958154	0.00034048	0.000229813	0.009601228	0.009761211	0.000170397	7.28E-05	0.039236773	0	0	0.04617218	2.29E-05	0.016082386	0.00035314	0.11887947	0.000205886	0.109271996	9.24E-06	0.023346977	0.025724467	0.000483231	0.000417002	2.57E-06	6.93E-05
Proteobacteria	D0110A-S23-MaxBin2-055	0.007773259	0.008587418	0.10278608	0.11379388	0.005475466	0.006549822	0.003402132	0.001516213	0.00211009	0.001702634	0.103105485	0.10415585	0.00166635	0.002339814	0.07764691	0.084822826	0.001223855	0.001384353	0.033348832	0.056354526	0.000786237	0.000393058	0.14469509	0.13717264	0.04266703	0.047291897	0.10311345	0.10070698	0.009205588	0.009923379	0.010102584	0.007483924	0.004999868	0.00572615	0.009139348	0.008757829	0.005893777	0.005069789	0.005657517	0.004641364	0.02618966	0.02316209	0.009456366	0.008165243	0.014502641	0.000150494	0.000222133	0.005666474	0.006656217	0.00232751	0.002216967	0.001885781	0.001374387	0.000286951	0.018850202	0.015933044	0.016667662	0.002591916	0.00210087	0.09645529	0.088054046
Proteobacteria	D0116A-S25-MaxBin2-013	0.20101146	0.21416855	0.17059456	0.1796667	0.29275212	0.29861662	0.04906581	0.046601422	0.20915982	0.21351881	0.04592607	0.047995668	0.22228183	0.22984394	0.0794256	0.0826203	0.2252318	0.23414183	0.033067346	0.056346416	0.16552755	0.16228497	0.16141681	0.15362096	0.3041125	0.3175383	0.107676	0.08935431	0.22742848	0.24039173	0.025113393	0.02224564	0.23017588	0.23401986	0.05788086	0.05934648	0.21450378	0.21269798	0.03696016	0.033728022	0.21174818	0.20700483	0.10014699	0.087979235	0.26184595	0.014990407	0.003392954	0.2195525	0.06259634	0.058074865	0.012206177	0.21206559	0.010219093	0.18349455	0.051844854	0.22924054	0.2212609	0.014933866	0.012370131	0.09219345	0.091292515
Proteobacteria	D0121A-S27-MaxBin2-032	0.000451647	0.00050903	0.012353046	0.014049753	0.001414934	0.001339096	0.008770126	0.007434774	8.98E-05	8.83E-05	0.036520943	0.042338137	0.000302044	0.000354484	0.22894119	0.250562	0.000325843	0.00016971	0.06669343	0.11931988	0.000266597	0.000142224	0.15213457	0.16329744	0.00435863	0.004874657	0.16689433	0.15752663	0.006866489	0.007076591	0.024725767	0.011400023	0.002691233	0.003375399	0.037995175	0.041030254	0.002682463	0.002313189	0.018533362	0.018034013	0.029876761	0.03491027	0.035295874	0.028590733	0.003926785	0.000561419	0.000954611	0.002625949	0.018614506	0.003831036	0.004410773	0.000363344	0.010855481	6.34E-05	0.03728094	0.01097833	0.012132818	0.010546831	0.007590716	0.30471227	0.2784595
Proteobacteria	D0152A-S39-MaxBin2-023	0.006331939	0.007084354	0.004120582	0.004723515	0.008306604	0.008623149	0.006794863	0.007994156	0.002515746	0.002024436	0.001983481	0.002062824	0.003209881	0.003319926	0.005858755	0.00606006	0.003809142	0.00349087	0.004499897	0.006132795	0.00121011	0.001628759	0.003210094	0.003735813	0.005562599	0.005745503	0.006153763	0.005749304	0.02703342	0.025980866	0.020199418	0.015576647	0.022932699	0.021607062	0.10706528	0.07889126	0.03734971	0.034469258	0.29277036	0.33675358	0.06647795	0.08363875	0.06175473	0.09247367	0.03050708	0.030179422	0.039714646	0.0661225	0.11335602	0.07472631	0.08892872	0.010209349	0.06502081	0.005066189	0.021709349	0.13250864	0.10507357	0.12627633	0.124185875	0.004255854	0.005861134
None	D0153A-S40-MaxBin2-001	0.007603439	0.012799132	0.0112317	0.009845628	0.021919528	0.0214956	0.09027721	0.08832921	0.00464416	0.004073356	0.006411172	0.006034746	0.007261465	0.006914622	0.07435153	0.055136736	0.009505192	0.008604799	0.14852847	0.091533124	0.007433698	0.007753729	0.026936209	0.025845217	0.017280703	0.017663702	0.060235083	0.07310187	0.022572886	0.019571912	0.21300864	0.25980246	0.019555656	0.01729244	1.1285434	0.83090913	0.09198214	0.07289715	8.636327	9.297744	0.5047828	0.40807214	0.56053394	0.69569445	0.016072255	0.36057752	0.45357388	0.088751756	1.8159705	0.21404798	1.0366114	0.009693012	3.5086026	0.002270472	0.06311875	0.09102516	0.18122113	2.0515137	1.9030356	0.050809167	0.048093006
Verrucomicrobiota	D0153A-S40-MaxBin2-025	0.005479036	0.006811265	0.044739977	0.03821141	0.016952809	0.01801367	0.025739493	0.02785215	0.001696238	0.001357968	0.001798851	0.001887027	0.000382844	0.000349346	0.037756532	0.035517585	0.000420998	0.000414522	0.025762565	0.031771235	0.000101238	7.10E-05	0.008476958	0.009725152	0.032663483	0.034695785	0.041702528	0.036647756	0.021182055	0.019872053	0.02584173	0.018213358	0.009034265	0.008552551	0.14156023	0.119694896	0.014953239	0.012140074	0.19862182	0.22635841	0.06310796	0.08106355	0.12007611	0.16308536	0.022880081	0.008493768	0.010864053	0.02765604	0.09559979	0.022082966	0.032995827	0.002520744	0.043902118	0.000142331	0.05080241	0.14972618	0.12141985	0.104048945	0.10431758	0.024101337	0.03202843
Thermoplasmatota	D0158A-S41-MaxBin2-013	0.0978128	0.10156735	0.002775094	0.002692654	0.076104805	0.07399737	0.000130487	1.82E-05	0.08998139	0.08688889	2.74E-05	4.27E-05	0.08807229	0.09013748	0.000709127	0.000798752	0.095911495	0.10480155	0.000219256	0.000373083	0.04749922	0.047688168	0.000241153	0.000184832	0.06696265	0.07324477	0.000685975	0.000329915	0.08805854	0.086883925	0.001367284	0.000459444	0.09887278	0.10042358	0.003055919	0.002210642	0.09280704	0.0877262	0.016059084	0.016387055	0.044001147	0.034083508	0.002367858	0.00165876	0.09150255	0.000195273	0.000324529	0.06682758	0.00388803	0.004393121	0.000559046	0.09266412	0.000910469	0.06091202	0.002658926	0.048464406	0.05171398	0.003475395	0.002826129	0.000815864	0.000875047
Actinobacteriota	D0159A-S42-MaxBin2-008	0.16740692	0.17346409	0.7136376	0.77820307	0.39052975	0.3993239	0.4264256	0.34520352	0.13852866	0.14272907	0.18721166	0.16964681	0.18844241	0.1941049	0.39849117	0.43130535	0.18744926	0.19502342	0.19226205	0.34741303	0.1080523	0.10522688	0.7319034	0.66707605	0.38429433	0.42695877	0.5065149	0.4510668	0.30515772	0.32109398	0.2008957	0.1623221	0.2918946	0.3035666	0.34924474	0.37327784	0.25462002	0.24261414	0.23966883	0.22865482	0.41992983	0.43620834	0.5976121	0.6515066	0.3340278	0.008272854	0.010764364	0.27771682	0.41049853	0.08729173	0.094400615	0.21159923	0.068190515	0.18140449	0.41168112	0.37829807	0.3601605	0.11292981	0.09744177	0.44283384	0.4547758
Planctomycetota	D0159A-S42-MaxBin2-060	0.005366482	0.005292331	0.002060101	0.001735996	0.008869757	0.009403653	0.002792528	0.003100202	0.003516204	0.003409057	0.001371138	0.001355447	0.004205202	0.004204747	0.001660533	0.001769413	0.004698718	0.004971793	0.0013824	0.001648686	0.002565293	0.003343705	0.001507969	0.001700393	0.008999699	0.009258334	0.004311324	0.004135934	0.02205815	0.02199092	0.013021525	0.008128361	0.014132212	0.012650044	0.08298553	0.058430206	0.012882294	0.011014792	0.20438986	0.24387966	0.040441938	0.06900435	0.06323608	0.094991565	0.01972655	0.014431141	0.021302415	0.015374813	0.10751861	0.026948895	0.043360446	0.005783305	0.0529166	0.002825923	0.008676766	0.05508907	0.048949268	0.08003864	0.077666335	0.001398217	0.001515956
