		zr2760_10_	zr2760_12_	zr2760_16_	zr2760_17_	zr2760_18_	zr2760_20_	zr2760_21_	zr2760_23_	zr2760_24_	zr2760_25_	zr2760_26_	zr2760_27_	zr2760_28_	zr2760_29_	zr2760_30_	zr2760_31_	zr2760_32_	zr2760_33_	zr2760_35_	zr2760_36_	zr2760_37_	zr2760_38_	zr2760_39_	zr2760_40_	zr2760_41_	zr2760_42_	zr2760_43_	zr2760_44_	zr2760_45_	zr2760_46_	zr2760_47_	zr2760_48_	zr2760_49_	zr2760_50_	zr2760_51_	zr2760_52_	zr2760_53_	zr2760_54_	zr2760_55_	zr2760_56_	zr2760_57_	zr2760_58_	zr2760_59_	zr2760_60_	zr2760_61_	zr2760_62_	zr2760_63_	zr2760_64_	zr2760_65_	zr2760_66_	zr2760_67_	zr2760_68_	zr2760_69_	zr2760_70_	zr2760_71_	zr2760_73_	zr2760_74_	zr2760_75_	zr2760_76_	zr2760_77_	zr2760_78_	zr2760_79_
Proteobacteria	D0068A-S7-MaxBin2-037	-6.967028645	-7.194253386	-6.665808423	-7.562366673	-6.083313863	-6.943960655	-7.814429894	-6.907428332	-7.028135923	-7.477751051	-5.585934508	-7.171815439	-6.591675345	-6.851873652	-6.906268984	-6.076053406	-6.346223613	-5.915876559	-6.301023435	-6.577454906	-6.00146547	-6.1155442	-6.13006844	-6.418233315	-5.88871693	-6.248407259	-4.175193295	-6.09856925	-6.977571114	-6.945850952	-6.346969091	-6.242277438	-6.094048299	-5.916873794	-5.959393951	-5.509574838	-6.058915037	-6.332777071	-6.149289475	-6.072092993	-6.256582163	-6.047664004	-6.104982197	-6.109327156	-4.477181539	-6.096078009	-6.414726219	-5.94249318	-6.566248736	-6.244111629	-6.229049982	-5.88522216	-6.305439015	-3.764077811	-5.796641066	-4.431541385	-4.355918595	-6.234273858	-6.532370893	-3.447094828	-3.92351099	-5.953558467
Thermoplasmatota	D0073A-S9-MaxBin2-002	-2.023046456	-2.080615983	-3.063100266	-2.255954965	-3.071079053	-2.018074863	-2.436810544	-2.125190981	-2.182326183	-2.26730887	-2.199263626	-2.165386163	-2.804417098	-2.290915241	-2.137375404	-3.076024464	-3.066275367	-3.35072626	-3.419189962	-2.609082387	-3.327834724	-3.119027752	-3.400221428	-3.148901682	-3.370802347	-2.801610728	-4.143683095	-3.441985908	-3.096842767	-2.988704804	-2.89898224	-3.089878483	-3.219587878	-2.888524461	-3.217997436	-3.368781083	-3.073910249	-2.952642421	-3.059724576	-3.214487941	-3.081712887	-2.660860589	-3.125603311	-3.180177388	-3.801632964	-3.046223763	-3.155121728	-3.280440878	-3.001214091	-3.417645381	-3.406752804	-3.577055508	-3.021727213	-4.475656842	-3.609956967	-4.93584945	-5.737966953	-3.317909564	-3.512936766	-5.132149921	-5.655846246	-3.26546334
SAR324	D0073A-S9-MaxBin2-038	-3.354168682	-3.22135071	-5.312328465	-3.126688676	-5.001829484	-3.384289558	-3.305081772	-3.307885825	-3.370625103	-3.182189257	-3.675929784	-3.347235613	-4.977934777	-3.507991458	-3.39383377	-4.996891129	-5.226814472	-5.15465996	-5.28532533	-4.751618241	-4.987084318	-4.996815972	-5.17299883	-5.242192189	-4.783602715	-4.990852961	-5.071385958	-5.180559042	-4.882566063	-4.811373782	-5.183434889	-5.139996639	-5.139235437	-4.907639141	-5.200739451	-5.111701776	-5.043366297	-5.040973731	-5.238841904	-4.911009033	-5.250297118	-4.800089199	-5.155776333	-5.262623442	-4.872219557	-4.941652663	-5.289236324	-5.265497809	-5.238680527	-5.640390805	-5.59443559	-5.501465319	-5.424761385	-5.958447537	-5.766075934	-5.966221335	-7.706617482	-5.301188564	-5.792288626	-6.985154168	-7.749510594	-5.364858168
Bacteroidota	D0073A-S9-MaxBin2-048	-3.320624289	-3.069409514	-2.971498127	-3.225574436	-2.424733168	-3.499267669	-3.280975562	-2.989729506	-3.29332352	-3.108868744	-2.290149724	-3.17973836	-2.9009886	-2.747991786	-3.186710931	-2.451498052	-2.758845814	-2.475993439	-2.854656291	-2.855499851	-2.430419817	-2.371283604	-2.396729841	-2.750157068	-2.35519693	-2.662644314	-2.668940008	-2.399654839	-2.796221977	-2.917643813	-2.811434421	-2.429676047	-2.578512114	-2.591025973	-2.466671592	-2.743147038	-2.316538632	-2.790573581	-2.570538384	-2.347884628	-2.690576593	-2.714283634	-2.530249335	-2.656890347	-2.148525494	-2.324213909	-2.922315171	-2.831408357	-3.029405279	-3.057240213	-2.984687987	-2.568142648	-2.858051086	-2.653844087	-3.521907942	-3.556703184	-4.562230627	-3.360583956	-3.418358057	-4.339148694	-4.431601154	-2.587231764
SAR324	D0074A-S10-MaxBin2-037	-3.34990022	-3.217542939	-4.983772501	-3.118926174	-4.748791858	-3.368953033	-3.295146337	-3.298046178	-3.356736174	-3.177819514	-3.675218235	-3.321577351	-4.644514159	-3.519655937	-3.383057636	-4.689954844	-4.914526797	-4.838316978	-5.000972876	-4.549974959	-4.74373135	-4.723755656	-4.888009868	-4.898528431	-4.534725982	-4.73668738	-4.962753685	-4.863198406	-4.563614221	-4.514457833	-4.871668442	-4.786738107	-4.83170009	-4.576883357	-4.927077863	-4.804460257	-4.772680966	-4.73795146	-4.944661798	-4.62705032	-4.96263823	-4.532703489	-4.829686805	-4.967165113	-4.726582173	-4.638272574	-4.936355149	-4.960146573	-4.873520722	-5.308792641	-5.257184329	-5.128746927	-5.088655648	-5.798832856	-5.440318031	-5.713281054	-7.425007778	-5.016969015	-5.447880585	-6.86074174	-7.35226412	-5.028908848
Proteobacteria	D0078A-S11-MaxBin2-028	-5.998810059	-6.090523449	-5.21711275	-6.080881287	-4.970354028	-6.034438105	-6.145364585	-5.979675947	-6.214539351	-6.139029957	-5.705749989	-6.274307202	-5.334907702	-6.105756922	-6.080645899	-4.917558356	-4.985325565	-4.908475982	-5.099264397	-5.398364247	-4.871827163	-4.77908129	-4.96087874	-5.131822223	-4.881744578	-5.279365925	-4.610361538	-4.877032953	-5.108938273	-5.030057286	-5.192615009	-4.926321407	-4.861765304	-4.691168149	-4.90817515	-4.817769276	-4.75033354	-5.071094356	-5.061830341	-4.870585141	-5.095082884	-5.267070204	-4.981578268	-5.131727303	-4.468316163	-4.858704352	-5.145987257	-5.12503864	-5.06961542	-4.921833864	-5.183703258	-4.852786979	-5.180426337	-4.22884948	-4.988388509	-4.343849235	-4.375770088	-5.313812661	-5.305600323	-4.123990739	-4.164854123	-4.888727178
Actinobacteriota	D0089A-S15-MaxBin2-008	-4.355605799	-4.315983496	-1.704475169	-4.414039626	-0.974577156	-3.911380162	-4.338518587	-3.899468593	-3.953082111	-4.502886379	-2.76832939	-4.215481541	-1.675939207	-3.864860308	-4.074521759	-0.982926515	-1.388448355	-0.806893804	-1.269311784	-1.749207172	-0.855939745	-0.907169282	-0.829933302	-1.446056081	-1.313050215	-1.536390952	-1.199596159	-0.739080673	-1.656046141	-1.697762637	-1.359019131	-0.976587486	-1.060354709	-1.004428741	-0.848017971	-1.568079193	-1.009685757	-1.234304697	-1.243860024	-0.886349282	-1.452583059	-1.499348929	-0.983185143	-1.212022883	-1.188897671	-1.056386477	-1.499039404	-1.666235798	-1.527784007	-1.328976354	-1.365893791	-1.079445331	-1.559670031	-0.950730012	-1.554025103	-1.461389826	-1.325799626	-1.763257608	-1.926533959	-1.444127601	-1.574044702	-1.383007923
Proteobacteria	D0090A-S16-MaxBin2-002	-3.091159114	-2.975824024	-1.616164178	-3.489659254	-1.174818158	-2.659740138	-3.601534879	-2.808222399	-2.743658918	-3.220804208	-1.687068584	-3.060395474	-1.78270492	-2.772302027	-2.756832309	-1.305652691	-1.432828929	-1.296940646	-1.506343874	-1.827771171	-1.074042217	-1.133427358	-1.498895691	-1.457223559	-1.047327977	-1.667122106	-0.91395678	-1.234725247	-1.41830074	-1.430667106	-1.662945757	-1.362131329	-1.304858381	-1.121305663	-1.500718804	-0.553159523	-1.159834711	-1.551974277	-1.620930798	-1.167305923	-1.647866934	-1.839795856	-1.315941025	-1.765957807	-1.108574898	-1.076812243	-1.635665154	-1.180099451	-1.536607469	-1.242781199	-1.648319286	-1.264398971	-1.574840317	-1.654904525	-0.835111975	-1.033626749	-1.205404692	-1.413454353	-1.573984281	-1.513352438	-0.904047559	-1.289319201
Proteobacteria	D0090A-S16-MaxBin2-008	-4.473783391	-4.400297821	-2.168100696	-4.639005292	-1.887514657	-3.994920873	-4.893148969	-4.122801075	-4.128603454	-4.663880498	-2.853197085	-4.394208291	-2.244208823	-4.125346618	-4.149505748	-1.911564939	-2.056529002	-1.792345635	-2.15572021	-2.212473027	-1.850316739	-1.86935813	-1.798574734	-2.070013478	-1.988140033	-2.064819676	-1.542824619	-1.839922336	-2.123527131	-2.151006452	-2.060671753	-1.910631989	-1.957511873	-1.985424627	-1.831271878	-2.158726155	-1.925657185	-1.955016782	-2.019388257	-1.867517811	-2.089855249	-2.098357591	-2.076410851	-2.07245734	-1.631517426	-1.986845434	-2.102190451	-2.414882491	-2.12471107	-2.003259686	-2.104429435	-1.902258223	-2.209851949	-1.626748373	-2.088065138	-1.894194462	-1.688814449	-2.391624623	-2.465187661	-1.791428418	-1.901662078	-2.295645915
Marinisomatota	D0096A-S18-MaxBin2-026	-1.897215383	-1.747634794	-3.061395309	-1.739787908	-3.072350437	-2.042781018	-2.178621666	-1.680871988	-1.87718932	-1.80533315	-2.058313276	-1.909041086	-2.783110135	-1.893542319	-1.875716803	-2.978627694	-2.995306224	-3.241637569	-3.360064143	-2.52702785	-3.058449074	-3.035750529	-2.918006691	-2.955374111	-2.993450419	-2.583838262	-3.177054146	-3.122153983	-2.780081668	-2.783106869	-2.837370763	-2.959639563	-3.152897957	-3.111958856	-2.973055232	-3.031891904	-3.122558857	-2.797587221	-2.858654347	-3.158236262	-2.876083708	-2.340540305	-3.216130073	-2.863413721	-3.246778843	-3.222639474	-2.985907871	-3.271294594	-3.182487701	-3.246575544	-3.240397948	-3.216172781	-3.06694359	-3.411197385	-3.509678762	-4.646488137	-5.097211446	-3.272567071	-3.673666283	-4.899384252	-5.110055985	-3.402704377
Verrucomicrobiota	D0096A-S18-MaxBin2-044	-2.544903423	-2.604699519	-3.543628569	-2.722549495	-3.86879806	-2.354493682	-2.934157872	-2.566000959	-2.576015853	-2.605789604	-2.740012249	-2.730174176	-3.323865659	-2.960957062	-2.702920625	-3.611519344	-3.673045909	-3.925388071	-4.042820538	-3.117764979	-3.835976456	-3.630586848	-3.749508911	-3.712281109	-3.80169162	-3.270778752	-4.940820421	-4.029420622	-3.809004114	-3.736719098	-3.526621499	-3.586525558	-3.808506228	-3.536136359	-3.736906174	-3.845054735	-3.601394319	-3.462665581	-3.586114909	-3.718187242	-3.606668662	-3.193040962	-3.937496261	-3.764915974	-4.401929101	-3.53578309	-3.661223782	-4.066443172	-3.804299329	-3.917382743	-4.021601571	-4.055602714	-3.816125907	-5.743087807	-4.215732432	-6.214053102	-6.601939176	-4.062961774	-4.334344208	-6.734605908	-6.672237959	-3.742319767
Bacteroidota	D0100A-S19-MaxBin2-022	-8.762537427	-8.456449236	-5.217302645	-8.074021529	-4.514710204	-8.133489045	-7.520413021	-7.617696412	-7.175162613	-8.016253553	-7.66877695	-8.253215921	-5.341581507	-7.668933686	-8.238900158	-4.629400176	-4.808922837	-4.645764394	-4.78231604	-5.5317212	-4.283977373	-4.614021443	-4.731772611	-4.9404449	-4.647670672	-5.272469909	-6.43298677	-4.473122443	-5.116251342	-5.201241419	-4.975804829	-4.73712294	-4.763542782	-4.749157365	-4.777736124	-4.332173112	-4.761959912	-4.879051305	-4.842911899	-4.571830772	-5.103790696	-5.241664386	-4.572312849	-4.863686867	-6.384520409	-4.393286429	-5.153331181	-4.592395234	-4.931144816	-4.599399568	-4.990032649	-4.290559466	-4.883259351	-5.661569349	-4.554917853	-6.27694712	-5.837644665	-5.045196413	-5.29815348	-5.288156959	-5.630852073	-4.915237127
Thermoplasmatota	D0105-bbnorm-MaxBin2-002	-0.817306263	-0.912076696	-3.786896819	-1.012072903	-3.892799909	-0.938174594	-1.125575385	-0.972977331	-1.067030076	-1.042109228	-1.48400214	-0.968411735	-3.45778967	-1.249266689	-1.024021051	-3.764959782	-3.805111249	-4.246112573	-4.185374651	-3.134505242	-4.243550388	-4.012130675	-4.385730606	-3.886260526	-4.175219641	-3.065379481	-3.431936814	-4.474108854	-3.945848801	-3.830531732	-3.360094143	-3.915267563	-4.028299832	-3.791002151	-4.178522031	-4.058256616	-3.943789046	-3.698489968	-3.849363232	-4.010090789	-3.767118872	-3.170374393	-3.953188965	-3.80456527	-3.772860069	-3.946092019	-3.818021454	-3.84774605	-2.90430588	-4.081185188	-3.32813044	-4.116639191	-3.090276145	-4.303241037	-3.774717469	-4.315293349	-5.167391566	-3.404588786	-3.744489463	-4.096836865	-5.117003367	-3.919326008
Thermoplasmatota	D0107A-S22-MaxBin2-012	-1.682748659	-1.808355234	-5.822687978	-1.655514778	-5.415566157	-1.974464196	-1.467245097	-1.96894328	-2.023985635	-1.745825317	-2.804529142	-1.90987194	-5.203735743	-2.435045277	-2.038090783	-5.056386448	-5.571533799	-5.384460263	-5.618789305	-4.82441242	-5.417392837	-5.286896098	-5.893248194	-5.672026515	-5.18975086	-5.131503095	-5.48005519	-5.60509832	-5.447078267	-5.469011386	-5.510488337	-5.485959372	-5.345253556	-5.164769912	-5.794871875	-5.462392188	-5.31389109	-5.379541804	-5.477888581	-5.481537807	-5.597251844	-4.704437525	-5.589186405	-5.511825736	-5.295646337	-5.426524672	-5.82748033	-5.628686338	-5.878177041	-6.189247611	-6.082843046	-5.752929968	-5.623675554	-5.664436164	-6.294737772	-6.908861691	-8.082038739	-5.787304072	-6.406131745	-7.030908483	-8.006324169	-5.726527656
Proteobacteria	D0110A-S23-MaxBin2-055	-6.543559905	-6.321341167	-3.381118498	-6.309053787	-3.296319554	-5.899620987	-6.157871826	-6.250607366	-5.921747048	-6.59701229	-4.828296987	-6.261724287	-3.572674338	-5.863235356	-6.013495496	-3.373904319	-3.390788117	-3.232314952	-3.623089429	-3.516723358	-3.272526606	-3.330618972	-3.233729928	-3.319938147	-3.243046752	-3.403034839	-4.019417421	-3.245848052	-2.898312212	-2.940405028	-3.495153014	-3.38627145	-3.362173005	-3.393068689	-3.271574027	-3.440526803	-3.246041724	-3.27277108	-3.361368853	-3.256478917	-3.43261412	-3.633828132	-3.488256396	-3.456332066	-3.672965122	-3.345130301	-3.360632928	-3.718175998	-3.35245359	-3.393801489	-3.429765358	-3.39483255	-3.540209032	-4.059503058	-3.694435581	-4.467335926	-4.672795065	-3.661609249	-3.809792418	-4.58661893	-4.906627097	-3.730736526
Proteobacteria	D0116A-S25-MaxBin2-013	-1.57413983	-1.503137974	-1.570187676	-1.633285002	-1.395420474	-1.518582134	-1.692467024	-1.502103761	-1.502149976	-1.534094842	-1.529998367	-1.534903884	-1.520986422	-1.607361565	-1.48549124	-1.400916136	-1.53961646	-1.321916599	-1.707324147	-1.392912851	-1.356525791	-1.344030472	-1.385435126	-1.541222639	-1.307130115	-1.410632338	-1.998827322	-1.383438599	-1.410599796	-1.426239819	-1.553790262	-1.463108017	-1.44047206	-1.443012825	-1.414419754	-1.517139121	-1.453266001	-1.479296881	-1.527139654	-1.368605138	-1.547584394	-1.439995601	-1.576059226	-1.631372419	-1.788711353	-1.337866926	-1.571245656	-1.663936702	-1.608919542	-1.618845773	-1.6622347	-1.694141095	-1.725949701	-2.301038629	-1.885035425	-2.685120395	-2.808080431	-1.847205938	-2.042693491	-2.959954384	-2.879811932	-1.747154904
Proteobacteria	D0121A-S27-MaxBin2-032	-6.805936598	-6.820035928	-5.214725653	-7.114963143	-5.195308101	-6.344062158	-7.559265437	-6.856356995	-6.649974039	-6.830175263	-5.06379137	-6.828956298	-5.305056222	-6.558782783	-6.535585079	-5.013806768	-5.0395518	-4.950330578	-5.291182083	-5.526561152	-5.122252391	-5.051798753	-5.189048877	-5.212808463	-5.041359691	-5.381512384	-3.405520182	-5.10522997	-5.781318345	-5.570210503	-5.241492142	-5.134688433	-5.164408573	-4.904572405	-5.062532297	-4.937356204	-5.134715604	-5.112213306	-5.159149775	-5.034011649	-5.177315605	-5.39200121	-5.310854833	-5.40082839	-3.082330638	-4.986296588	-4.995186838	-5.36477239	-5.244758344	-4.918847848	-5.335804096	-4.965391927	-5.2480048	-3.441096646	-4.794088655	-3.104361994	-2.641894958	-5.400302186	-5.406081658	-3.253005653	-2.644801341	-5.023906569
Proteobacteria	D0152A-S39-MaxBin2-023	-4.427608104	-4.559702296	-5.237905097	-4.571761329	-4.54352867	-4.427071282	-4.457653692	-4.446460287	-4.674027995	-4.265965757	-3.610634164	-4.612154923	-4.780484034	-3.245973755	-4.48735284	-4.389372268	-4.788866247	-4.356557972	-4.776964469	-4.653319271	-4.444729785	-4.304876871	-4.547957968	-4.954950524	-4.260288763	-4.46960268	-2.566609351	-4.423420543	-5.302291573	-5.322317725	-4.702267492	-4.481654988	-4.454828236	-4.17481203	-4.421905074	-4.257031553	-4.334318808	-4.652485194	-4.472997316	-4.371222174	-4.573934053	-4.098261985	-4.421158059	-4.402840386	-2.502559863	-4.235308974	-4.700614475	-4.470011955	-4.987620566	-5.06586575	-4.810232075	-4.483457725	-4.677387608	-1.451475346	-4.807760779	-2.917091255	-1.835018926	-4.910943591	-5.077932593	-1.150935352	-1.714169842	-4.107714888
