		RL2103c001_100m-2	RL2103c001_48m-1	RL2103c001_5m-1	RL2103c002_100m-1	RL2103c002_48m-3	RL2103c002_5m-1	RL2103c009_20m-1	RL2103c009_40m-1	RL2103c009_5m-3	RL2103c010_25m-3	RL2103c010_50m-2	RL2103c010_5m-1	RL2103c014_25m-3	RL2103c014_55m-2	RL2103c014_5m-1	RL2103c015_30m-2	RL2103c015_5m-1	RL2103c015_80m-3	RL2103c019_100m-1	RL2103c019_44m-2	RL2103c019_5m-2	RL2103c023_5m-2	RL2103c023_60m-1	RL2103c024_100m-2	RL2103c024_40m-1	RL2103c024_5m-1	RL2103c025_100m-2	RL2103c025_40m-2	RL2103c025_5m-1	RL2103c032_5m-3	RL2103c032_66m-3	RL2103c032_80m-1	RL2103c033_100m-3	RL2103c033_35m-3	RL2103c033_5m-1	RL2103c034_100m-2	RL2103c034_34m-1	RL2103c044_100m-3	RL2103c044_52m-2	RL2103c044_5m-3	RL2103c045_100m-2	RL2103c045_23m-2	RL2103c045_5m-1	RL2103c046_15m-3	RL2103c046_30m-2	RL2103c046_5m-3	RL2103c049_23m-1	RL2103c049_5m-1	RL2103c049_93m-2	RL2103c050_100m-2	RL2103c050_21m-2	RL2103c050_5m-3	RL2103c067_100m-1	RL2103c067_57m-2	RL2103c067_5m-3	RL2103c068_37m-3	RL2103c068_5m-3	RL2103c071_5m-2	RL2103c071_68m-2	RL2103c072_100m-2	RL2103c072_35m-2	RL2103c072_5m-1	RL2103c074_100m-1	RL2103c074_13m-1	RL2103c074_5m-1	RL2103c077_19m-1	RL2103c077_5m-2	RL2103c077_70m-1	RL2103c078_100m-2	RL2103c078_27m-2	RL2103c078_5m-2	RL2103c081_45m-2	RL2103c081_5m-2	RL2103c088_51m-2	RL2103c088_5m-1	RL2103c089_100m-3	RL2103c089_20m-1	RL2103c089_5m-2	RL2103c090_100m-3	RL2103c090_53m-1	RL2103c090_5m-2
Proteobacteria	D0068A-S7-MaxBin2-037	-6.051276889	-5.34745173	-5.430457613	-5.962807316	-5.506656053	-5.293435403	-4.80518845	-5.174679804	-4.612899883	-5.288450326	-6.276944087	-5.261090948	-4.095835513	-3.918865361	-3.068962732	-3.513092434	-3.046361767	-5.380604423	-7.143380617	-4.556683068	-3.195836261	-2.664096413	-4.788438671	-5.08707548	-4.355573933	-4.483971656	-6.706553334	-4.938465672	-4.964453729	-4.436491353	-5.650317256	-5.874239249	-7.015995938	-4.856286862	-4.730233081	-7.898260958	-5.697758038	-7.354081757	-6.36091961	-5.692900875	-7.205560889	-5.443163409	-5.107177605	-3.542408243	-3.02302818	-3.353576329	-6.555544826	-6.055115697	-8.168495491	-9.801507123	-7.289089786	-7.296150018	-6.651303923	-3.625704487	-3.435600086	-3.384136628	-3.572044637	-4.666838483	-3.56196198	-8.334377215	-4.403847221	-3.963282353	-6.736474869	-4.481165302	-4.820282326	-4.91036319	-5.765183523	-5.770750633	-7.004714441	-5.040043302	-5.234018749	-5.48769972	-4.410435698	-5.048005363	-5.3137631	-4.834051165	-4.969922046	-5.058617896	-8.988197801	-5.254705348	-5.085175667
Thermoplasmatota	D0073A-S9-MaxBin2-002	-3.539432321	-5.127948965	-5.715364923	-3.141288568	-6.047372938	-4.090124778	-6.13042312	-5.395390319	-6.866329883	-5.513277246	-3.019964906	-6.482857743	-3.934094959	-3.187102607	-5.834004492	-4.453941972	-6.230150508	-2.494399965	-2.227503122	-2.482857978	-5.242262984	-5.561632239	-2.179858908	-3.137269617	-5.241058213	-5.720840153	-2.577804337	-3.71374317	-4.400027197	-4.469202127	-2.485133552	-2.438364141	-2.361664399	-3.875153709	-4.813314971	-1.807404633	-3.457336461	-2.139697194	-2.269902573	-5.951964642	-2.155463163	-6.097747488	-6.328115376	-5.600278366	-5.950042566	-5.447925181	-3.591146684	-6.075407618	-2.395324535	-2.112267292	-5.898760524	-6.278565668	-2.398596372	-4.943193501	-6.249875755	-4.736120569	-5.835255849	-6.045252994	-3.576990698	-2.173157365	-3.19817828	-5.510909876	-2.007441147	-6.170611979	-6.02920197	-6.152569559	-5.599565875	-2.714509855	-2.097631329	-4.512341811	-5.853803488	-4.161966167	-6.21626482	-6.307099829	-5.757484246	-5.31438045	-6.365443198	-6.370521306	-1.986688585	-4.974116111	-5.394247599
SAR324	D0073A-S9-MaxBin2-038	-4.427198325	-6.54013355	-8.119023027	-3.99560208	-8.130787669	-10.85422497	-9.045547974	-7.66489022	-10.30998511	-7.269641492	-4.751004262	-9.334999469	-4.764726684	-4.494860876	-7.516161814	-5.164237047	-7.139894874	-3.73737263	-3.230294799	-3.924941845	-6.238114778	-6.725849309	-3.715573142	-4.238809174	-7.708984765	-8.068114054	-4.195993973	-4.892598357	-6.041596621	-5.651266688	-3.630224658	-3.423336524	-3.351379146	-4.835133942	-5.810039826	-3.118744716	-4.794874367	-2.907568752	-3.824168505	-8.390235175	-2.990186898	-10.04976993	-10.47152783	-8.156115628	-7.484363219	-8.433135309	-4.404923253	-9.007976837	-2.640424249	-2.526499304	-7.133069935	-11.56714694	-3.327456492	-5.099266692	-9.4725386	-5.305686049	-7.791171353	-8.785257163	-4.429919569	-2.806787896	-4.432516715	-8.784238997	-3.595815395	-8.451439066	-9.694338688	-7.518495441	-9.120445136	-4.232424501	-3.214851583	-5.380943174	-8.03285221	-5.185062613	-11.08918687	-9.335059054	-7.845619709	-5.543402381	-6.994537773	-6.953208816	-3.194228067	-5.594508525	-5.838650898
Bacteroidota	D0073A-S9-MaxBin2-048	-1.773655572	-4.497821129	-5.406266118	-2.123593065	-5.775199156	-6.664325453	-4.697277799	-4.174075603	-6.023127861	-4.328954755	-1.764850382	-6.242653675	-2.254188521	-1.764117293	-4.280809427	-3.11257969	-4.306281518	-1.809331532	-2.271525563	-2.363389953	-4.045138884	-4.130232872	-2.45691411	-2.628937158	-5.101132978	-4.902441744	-2.194337715	-2.179931706	-3.893897372	-3.063047746	-1.847005105	-1.641283952	-1.941252516	-3.031338021	-3.606556959	-1.904065912	-2.212842419	-2.722624984	-2.174326267	-4.66047964	-2.698817697	-4.997089849	-4.935331514	-4.877896982	-4.53367824	-5.15199214	-2.596555415	-5.303758885	-2.359360958	-2.625912015	-3.173633709	-5.737695485	-2.166457128	-3.974556019	-5.556381558	-4.098215786	-4.979633029	-4.915117009	-3.15905887	-2.725132918	-2.95130353	-4.954221407	-2.448651672	-4.53749294	-4.834435059	-5.034923786	-6.517940738	-1.376600772	-1.782068374	-3.393575373	-5.225570377	-2.510575843	-6.373094347	-5.107333767	-4.754199801	-3.418838668	-4.622295999	-4.734829428	-2.295213579	-4.195001325	-4.305056038
SAR324	D0074A-S10-MaxBin2-037	-4.289824188	-6.332793446	-7.741224053	-3.86282383	-7.673267152	-10.2481721	-8.674979514	-7.491007699	-10.49813307	-7.079007171	-4.623830716	-8.797979163	-4.557063779	-4.420427479	-7.28231521	-5.016378027	-6.813717909	-3.68483114	-3.196222339	-3.786672806	-6.001683382	-6.268998922	-3.572076668	-4.146776505	-7.186748806	-7.554503457	-3.989210036	-4.567736935	-5.813170557	-5.48345681	-3.56468604	-3.365388337	-3.327691999	-4.686872988	-5.595747275	-3.045603359	-4.533638114	-2.871171	-3.685283886	-8.230817785	-2.946812708	-9.801806112	-10.82757979	-7.855371444	-7.371319367	-8.23091185	-4.332929699	-8.916055273	-2.618505871	-2.496074203	-6.843653228	-11.52463728	-3.306543481	-5.080040567	-8.98461743	-5.2773088	-7.596328138	-8.537320544	-4.377116629	-2.785325637	-4.311465138	-8.37685863	-3.561041961	-8.260668908	-9.262971403	-7.234267123	-8.815473359	-4.150775622	-3.193461887	-5.044010553	-7.787082965	-5.094284548	-11.24842049	-9.061441775	-7.558718832	-5.363886926	-6.713522032	-6.776110803	-3.164669142	-5.502959014	-5.701066616
Proteobacteria	D0078A-S11-MaxBin2-028	-4.829247673	-4.369538458	-5.49649127	-4.905512637	-4.397534502	-4.36581602	-4.478935323	-4.481325426	-4.4891357	-4.631133125	-4.913090613	-4.398674118	-4.461257479	-4.592378598	-4.128610035	-4.321626264	-4.065372107	-5.344413453	-5.977538565	-5.218869605	-4.206121553	-4.204018501	-5.360765913	-4.968058824	-4.727674374	-4.702496948	-5.643195284	-4.607433145	-4.700707001	-4.620718081	-5.47189829	-5.567583236	-5.936640509	-4.601674403	-4.489954799	-6.240371185	-5.009565566	-6.218598399	-5.585119799	-4.855100008	-5.94324689	-4.925645046	-4.931829622	-4.587727891	-4.375551404	-4.64644051	-4.873540301	-5.015154741	-6.084321339	-6.565390438	-4.900977647	-4.437853474	-5.854058282	-4.513372805	-4.332410754	-4.442678957	-4.402500399	-4.730133136	-4.683069892	-6.288144365	-4.786517378	-4.59794237	-5.847330888	-4.444243799	-4.558693839	-4.434149241	-5.080165678	-5.034050452	-6.367218049	-4.598635782	-4.851700334	-4.850421063	-4.869193416	-4.790298919	-4.724958731	-5.235694554	-4.745642411	-4.739480053	-6.489965829	-4.757314297	-4.671328044
Actinobacteriota	D0089A-S15-MaxBin2-008	-1.311067412	-0.818594671	-1.909405538	-1.123545152	-1.53732885	-2.109037691	-0.722146915	-0.846623539	-0.617706292	-0.350794069	-1.36667559	-0.31867723	-1.203475691	-1.512602256	-1.536555032	-1.310533369	-1.350759274	-1.953113	-2.853055783	-1.346198642	-1.110491414	-1.152474973	-2.090673416	-0.875044497	-1.04536066	-0.844809374	-1.701547768	-1.376203957	-0.736555724	-0.73385695	-2.251967352	-2.302508886	-2.842742107	-0.679741241	-0.449457904	-4.646706707	-0.932599828	-3.307849098	-1.201812802	-0.283288072	-3.006881435	-0.382198339	-0.258820509	-0.77471029	-0.559868923	-0.940643362	-0.210527148	0.190353631	-3.548233763	-3.811546829	0.070967748	-0.172812312	-3.346918281	-0.501850354	-0.109921947	-0.316718305	-0.152755918	-0.353522488	-0.877817555	-4.172882767	-0.825341522	-0.398654005	-2.636126116	-0.350024108	-0.429126441	-0.532350036	-0.6080238	-2.149411267	-6.615286431	-1.018650806	-0.729934407	-1.279850749	-1.112551568	-0.619907591	-0.777994208	-1.485708984	-1.466777128	-1.451564153	-5.210454009	-1.596720369	-1.221669264
Proteobacteria	D0090A-S16-MaxBin2-002	-1.163006817	-1.341962727	-2.150464693	-1.351041815	-1.779074104	-1.649905329	-0.970093802	-1.165397809	-0.705968927	-1.048493291	-1.797011752	-1.040126646	-1.208015763	-0.708269101	-0.991898556	-0.898531659	-0.723901687	-1.087162624	-1.652637048	-1.372591275	-0.905664958	-0.969698784	-1.796105915	-0.486085206	-1.185763534	-1.10855999	-2.062372207	-1.143959503	-1.356165232	-0.963971242	-1.499852604	-1.451598269	-1.944195373	-1.099860084	-0.986757508	-5.026506935	-1.875698727	-2.472050363	-1.331230504	-0.821057439	-1.81347834	-0.688332985	-0.607573518	-0.136867923	0.050397159	-0.290709315	-0.020478612	0.394600233	-2.537401622	-3.733717168	-0.81288732	-0.67973907	-2.193326546	-0.013315002	0.466486765	0.098552374	0.226550781	-0.15499522	-0.336262697	-2.888041523	-0.449604864	-0.114958697	-1.360520963	-0.51869277	-0.505432624	-0.718162407	-1.470676466	-0.936802107	-5.729402975	-1.635678911	-1.358487886	-1.083216501	-0.98082685	-1.231206049	-1.250851293	-1.538939044	-1.478563517	-1.529358862	-4.792779197	-1.276496111	-1.336535824
Proteobacteria	D0090A-S16-MaxBin2-008	-1.924550786	-1.67902944	-2.735121222	-1.853955131	-2.358704001	-3.07980312	-1.25425643	-1.598771348	-0.797189275	-1.01635894	-2.371311839	-0.615971161	-2.143254813	-1.988010651	-1.746667099	-1.591557126	-1.460395726	-2.161335866	-2.932893052	-1.868527792	-1.301564057	-1.409070823	-2.387404354	-1.012530741	-1.110013837	-0.890694135	-2.329847087	-1.625625777	-0.9901118	-1.411079097	-2.558873659	-2.574106705	-3.070318739	-1.105982277	-1.074362708	-5.356480944	-1.745083934	-3.597353042	-1.814758116	-1.174059046	-3.159881637	-1.05739832	-0.970456039	-0.703713809	-0.533482699	-0.880141314	-0.378421406	0.077815954	-3.735352846	-4.616587314	-0.819479518	-0.856985401	-3.289201808	-0.451831663	-0.142078742	-0.289246053	-0.135126263	-0.463435072	-0.883079721	-4.37331517	-0.933102585	-0.486672179	-2.820605051	-0.72322718	-0.684464383	-1.030242685	-1.395909475	-2.601936441	-7.839077114	-1.500983807	-0.938804779	-2.026891817	-1.384701906	-1.361535483	-1.493420029	-2.10925455	-1.908754531	-1.864599353	-6.038741119	-1.83664627	-1.719583799
Marinisomatota	D0096A-S18-MaxBin2-026	-2.598438581	-5.028413061	-5.297052167	-2.713867071	-7.008524716	-8.277590872	-5.758113336	-4.767433148	-6.942088827	-4.941989885	-2.328673547	-6.159592401	-2.949758433	-2.467854496	-5.674689548	-3.864675977	-5.722981441	-2.130281036	-1.821029193	-2.098432975	-4.46648108	-4.42897494	-1.823348711	-2.514546436	-5.935311461	-6.200129521	-2.11268945	-3.632185446	-4.931032191	-3.299405634	-2.046372937	-1.98066015	-2.022809437	-3.183757819	-3.846836616	-1.523629821	-2.9787484	-1.977285243	-2.105743046	-5.730155547	-1.708119609	-6.827643928	-6.648498993	-5.639094637	-5.335826521	-5.72781978	-2.892488755	-6.134755316	-1.860567309	-1.789540407	-4.039748826	-6.895035618	-1.756043712	-3.828593256	-6.064018294	-3.819547521	-5.100879391	-5.4450444	-3.008734659	-1.771408986	-2.676343838	-5.854192868	-1.87458553	-5.638898766	-6.062882442	-5.167495862	-5.434250956	-2.098644455	-2.701554976	-4.152491712	-5.988272049	-3.523586125	-7.199054151	-6.15467388	-5.118735225	-3.96758133	-5.108715211	-4.999023517	-1.971009102	-4.294542123	-4.337689647
