		zr2760_10_	zr2760_12_	zr2760_16_	zr2760_17_	zr2760_18_	zr2760_20_	zr2760_21_	zr2760_23_	zr2760_24_	zr2760_25_	zr2760_26_	zr2760_27_	zr2760_28_	zr2760_29_	zr2760_30_	zr2760_31_	zr2760_32_	zr2760_33_	zr2760_35_	zr2760_36_	zr2760_37_	zr2760_38_	zr2760_39_	zr2760_40_	zr2760_41_	zr2760_42_	zr2760_43_	zr2760_44_	zr2760_45_	zr2760_46_	zr2760_47_	zr2760_48_	zr2760_49_	zr2760_50_	zr2760_51_	zr2760_52_	zr2760_53_	zr2760_54_	zr2760_55_	zr2760_56_	zr2760_57_	zr2760_58_	zr2760_59_	zr2760_60_	zr2760_61_	zr2760_62_	zr2760_63_	zr2760_64_	zr2760_65_	zr2760_66_	zr2760_67_	zr2760_68_	zr2760_69_	zr2760_70_	zr2760_71_	zr2760_73_	zr2760_74_	zr2760_75_	zr2760_76_	zr2760_77_	zr2760_78_	zr2760_79_
Proteobacteria	D0068A-S7-MaxBin2-037	0.000942448	0.000750888	0.001273726	0.000519643	0.002280606	0.000964441	0.000403864	0.001000326	0.000886582	0.000565527	0.003750243	0.000767926	0.001371739	0.001057472	0.001001486	0.002297224	0.001753355	0.002696294	0.001834425	0.001391385	0.002475121	0.002208273	0.002176431	0.001631535	0.002770528	0.00193353	0.015372219	0.002246078	0.000932565	0.00096262	0.001752048	0.001945419	0.002256255	0.002693607	0.002581475	0.004047827	0.002336934	0.001777091	0.002134997	0.00230634	0.001917788	0.002363375	0.00223172	0.002222044	0.0113654	0.002251681	0.001637267	0.002625475	0.001407065	0.001941854	0.001971323	0.002780228	0.001826343	0.023188986	0.00303774	0.011896138	0.012830647	0.001961052	0.00145555	0.031837996	0.019771554	0.002596583
Thermoplasmatota	D0073A-S9-MaxBin2-002	0.13225195	0.12485328	0.046742555	0.10477344	0.04637109	0.13291109	0.08743929	0.11941016	0.11277888	0.10359058	0.11088478	0.11470563	0.06054205	0.10117382	0.117964044	0.046142332	0.046594378	0.035058882	0.032738943	0.07360205	0.03587069	0.04420012	0.03336588	0.042899217	0.034362055	0.060712192	0.015864313	0.03200107	0.045191657	0.05035261	0.055079248	0.045507483	0.039971527	0.055658277	0.04003515	0.03443158	0.04623999	0.052201584	0.04690061	0.0401759	0.0458806	0.06988805	0.043910433	0.041578278	0.02233427	0.0475381	0.04263321	0.03761167	0.049726658	0.03278955	0.033148665	0.027957898	0.048717	0.011382742	0.02705301	0.007184355	0.00322131	0.036228485	0.029809242	0.005903853	0.003497012	0.03817924
SAR324	D0073A-S9-MaxBin2-038	0.034938402	0.039901126	0.004930432	0.0438628	0.00672563	0.033901718	0.03669621	0.036593456	0.034368146	0.041494712	0.025325846	0.035181474	0.006888273	0.029957023	0.033579692	0.006758926	0.005370605	0.005772442	0.005065383	0.008637705	0.006825536	0.006759434	0.005667546	0.005288649	0.008365804	0.006799861	0.006273718	0.00562486	0.007577544	0.008136673	0.005608707	0.005857708	0.005862169	0.007389913	0.005512486	0.006025819	0.006451991	0.006467447	0.005306398	0.007365052	0.005245959	0.008229012	0.005766001	0.005181692	0.007656352	0.007142783	0.005045611	0.005166819	0.005307254	0.003551479	0.003718497	0.004080786	0.004406116	0.002583919	0.003132023	0.00256391	0.00044984	0.004985664	0.003050991	0.00092552	0.000430952	0.004678123
Bacteroidota	D0073A-S9-MaxBin2-048	0.036130268	0.046448573	0.051226508	0.03973295	0.08850173	0.030219505	0.037591565	0.05030104	0.03713024	0.044651438	0.1012513	0.041596536	0.05496885	0.06405637	0.04130751	0.08616441	0.06336486	0.08407942	0.057575606	0.057527058	0.08799988	0.09336081	0.0910151	0.06391782	0.09487482	0.0697635	0.06932567	0.09074927	0.061040238	0.054060914	0.060118694	0.088065356	0.07588683	0.07494311	0.08486686	0.06436746	0.098614335	0.061385993	0.07649435	0.095571116	0.06784181	0.066252396	0.07963916	0.070166074	0.11665604	0.09786034	0.053808965	0.0589298	0.04834438	0.047017273	0.050555274	0.07667783	0.05738048	0.070380144	0.029543014	0.028532736	0.010438747	0.03471498	0.03276619	0.01304763	0.011895427	0.075228
SAR324	D0074A-S10-MaxBin2-037	0.035087854	0.04005335	0.006848178	0.04420461	0.008662153	0.03442566	0.03706262	0.0369553	0.034848813	0.04167643	0.025343873	0.03609585	0.009614199	0.02960962	0.033943508	0.0091871	0.007339189	0.007920372	0.006731394	0.010567468	0.008706099	0.008881758	0.007536405	0.007457548	0.010729846	0.008767641	0.006993642	0.007725733	0.010424314	0.010949539	0.007660572	0.008339615	0.007972954	0.010286906	0.00724765	0.008193121	0.008457674	0.008756565	0.007121322	0.009783574	0.00699445	0.010751569	0.007989022	0.006962858	0.008856689	0.009674394	0.007180722	0.007011899	0.007646396	0.004947896	0.005209953	0.005923978	0.006166303	0.003031089	0.004338102	0.00330182	0.000596155	0.006624574	0.004305419	0.001048135	0.000641138	0.006545948
Proteobacteria	D0078A-S11-MaxBin2-028	0.002481703	0.002264222	0.005422963	0.00228616	0.006940689	0.002394841	0.002143393	0.002529645	0.002000137	0.002157014	0.00332678	0.001884095	0.004820354	0.002229992	0.002286698	0.007316974	0.006837551	0.007383732	0.006101232	0.004523974	0.007659357	0.008403715	0.007006767	0.005905788	0.007583771	0.00509566	0.00994822	0.007619587	0.006042494	0.006538435	0.005557454	0.007253135	0.007736813	0.00917596	0.007385953	0.008084801	0.008648809	0.006275548	0.006333955	0.007668876	0.006126798	0.005158701	0.006863221	0.005906349	0.011466607	0.007760531	0.005822722	0.005945987	0.006284836	0.007285757	0.005607202	0.007806589	0.005625607	0.014569142	0.00681664	0.012986443	0.012578451	0.00492312	0.004963717	0.016179815	0.01553198	0.007531001
Actinobacteriota	D0089A-S15-MaxBin2-008	0.012834661	0.013353409	0.18186781	0.012106174	0.37735188	0.02001286	0.013055854	0.02025267	0.019195447	0.011076977	0.062766775	0.014765209	0.18713234	0.02096585	0.017000342	0.37421435	0.24946208	0.44624203	0.28102496	0.17391177	0.42488372	0.40366527	0.43607837	0.23549724	0.2689983	0.21515621	0.30131587	0.47755274	0.19089225	0.18309271	0.25691265	0.37659404	0.34633294	0.3662538	0.42826292	0.20844518	0.36433345	0.29103705	0.28826934	0.41215768	0.23396516	0.22327548	0.37411758	0.29759467	0.3045568	0.34771	0.2233446	0.188957	0.21701604	0.26474813	0.25515252	0.33978394	0.21020542	0.3864588	0.21139537	0.23191373	0.2655905	0.17148532	0.14565216	0.23595183	0.2072054	0.25082296
Proteobacteria	D0090A-S16-MaxBin2-002	0.045449242	0.051005386	0.19865926	0.030511266	0.30887514	0.0699664	0.027281815	0.060312107	0.06433452	0.039922938	0.18506122	0.046869155	0.16818261	0.06251792	0.063492574	0.2709956	0.23863289	0.27336684	0.22171913	0.1607715	0.3416248	0.321928	0.2233767	0.23288196	0.35087404	0.1887896	0.40093467	0.29091468	0.2421251	0.23914933	0.1895797	0.25611433	0.27121094	0.32585406	0.22296983	0.5751298	0.313538	0.21182935	0.19771458	0.31120422	0.19246	0.15884985	0.2682218	0.1710229	0.33002895	0.3406798	0.19482274	0.30724818	0.21510963	0.2885805	0.19237296	0.28240898	0.20704061	0.1911103	0.4338259	0.35571453	0.29957074	0.24330138	0.20721792	0.22017063	0.40492737	0.27545825
Proteobacteria	D0090A-S16-MaxBin2-008	0.011404087	0.012273683	0.11439468	0.009667308	0.15144774	0.018408902	0.007497774	0.016199075	0.016105354	0.009429798	0.057659682	0.012348652	0.10601138	0.016157892	0.015772209	0.14784883	0.12789713	0.166569	0.115819745	0.10942969	0.15718737	0.15422262	0.16553465	0.12618408	0.13694991	0.12684116	0.21377641	0.15882976	0.119609006	0.11636698	0.12736838	0.14798683	0.14120933	0.13732229	0.16020967	0.11547212	0.14577992	0.1415621	0.13273664	0.1545067	0.12370504	0.122657716	0.12537941	0.12587608	0.19563249	0.13712732	0.122188486	0.08937784	0.11946748	0.13489485	0.121915214	0.14923124	0.10971689	0.1965677	0.123926684	0.15043947	0.18473841	0.09148094	0.08499289	0.16672185	0.14932023	0.10069633
Marinisomatota	D0096A-S18-MaxBin2-026	0.14998569	0.17418544	0.046822317	0.17555763	0.046312172	0.1296676	0.113197446	0.18621153	0.15301959	0.16441967	0.12766913	0.14822245	0.061845858	0.15053761	0.15324508	0.050862584	0.050021306	0.039099813	0.03473303	0.07989613	0.04696047	0.048038594	0.0540413	0.05205918	0.050114222	0.07548372	0.04170834	0.044062156	0.06203344	0.06184606	0.058579482	0.051837597	0.042728122	0.044513673	0.051146805	0.048224315	0.04404432	0.06095696	0.057345875	0.042500634	0.056355033	0.096275605	0.04010998	0.057073593	0.038899306	0.039849736	0.05049364	0.037957255	0.04148233	0.038907215	0.039148312	0.040108267	0.046563253	0.03300166	0.029906519	0.009595239	0.00611377	0.037908986	0.025383236	0.007451169	0.006035744	0.033283137
Verrucomicrobiota	D0096A-S18-MaxBin2-044	0.07848063	0.073925346	0.02890824	0.06570702	0.020883454	0.094941564	0.05317548	0.076842226	0.0760765	0.073844805	0.064569555	0.06520793	0.036013346	0.051769346	0.067009516	0.027010776	0.025398988	0.019734476	0.017547907	0.04425597	0.021580255	0.026500627	0.023529297	0.02442175	0.02233296	0.03797684	0.00714873	0.01778463	0.022170246	0.023832165	0.029404089	0.027694385	0.022181287	0.02912564	0.023827707	0.02138523	0.02728565	0.031346094	0.02770576	0.024277937	0.027142115	0.041046858	0.019496968	0.023169558	0.012253678	0.029135931	0.02570104	0.017138237	0.022274798	0.019893091	0.017924234	0.017325034	0.022012915	0.003204856	0.014761505	0.002001109	0.001357732	0.017198006	0.013110468	0.001189043	0.001265562	0.023699062
Bacteroidota	D0100A-S19-MaxBin2-022	0.000156486	0.000212524	0.005421933	0.000311527	0.010946776	0.000293541	0.000541908	0.000491672	0.00076536	0.000330053	0.000467188	0.000260419	0.004788291	0.000467115	0.000264174	0.009760611	0.00815664	0.009602186	0.008376575	0.003959168	0.013787713	0.009911877	0.008810838	0.007151415	0.009583899	0.005130921	0.001607641	0.011411627	0.005998466	0.005509719	0.00690296	0.008763823	0.008535316	0.008658988	0.008415027	0.013138963	0.008548837	0.007604224	0.007884062	0.010339013	0.006073678	0.005291442	0.01033403	0.007721961	0.001687477	0.012360041	0.005780117	0.010128568	0.007218234	0.010057872	0.006805441	0.013697259	0.007572292	0.003477055	0.010515363	0.001879128	0.002915701	0.006440194	0.005000819	0.00505106	0.003585518	0.007333978
Thermoplasmatota	D0105-bbnorm-MaxBin2-002	0.44161966	0.40168917	0.022665828	0.36346477	0.02038818	0.39134154	0.32446572	0.37795606	0.34402874	0.35270995	0.22672847	0.3796856	0.031499308	0.28671497	0.35914788	0.023168543	0.02225672	0.014319792	0.015216503	0.04352128	0.014356529	0.018094799	0.012453785	0.020521943	0.015371814	0.04663614	0.032324273	0.011400376	0.019334797	0.021698074	0.034731988	0.019935213	0.017804574	0.022572968	0.015321134	0.017279116	0.019374663	0.024760887	0.02129329	0.018131748	0.023118574	0.041987874	0.019193396	0.022268875	0.022986226	0.019330095	0.021971228	0.021327753	0.054786805	0.016887438	0.035860084	0.0162992	0.04548939	0.013524653	0.022943571	0.013362628	0.005699415	0.033220477	0.023647698	0.016625179	0.005993957	0.019854471
Thermoplasmatota	D0107A-S22-MaxBin2-012	0.1858624	0.16392353	0.002959638	0.19099371	0.004446819	0.13883568	0.23055978	0.1396043	0.1321278	0.17450091	0.060535267	0.14809935	0.005495993	0.08759378	0.1302772	0.00636853	0.003804639	0.004587315	0.003629031	0.008031271	0.004438703	0.005057433	0.002758003	0.003440884	0.005573394	0.005907673	0.004169099	0.003679058	0.004308875	0.004215397	0.004044131	0.004144556	0.00477074	0.005714377	0.003043119	0.004243392	0.004922734	0.004609933	0.004178141	0.004162922	0.003708039	0.009055005	0.003738067	0.004038726	0.005013372	0.004398354	0.002945488	0.003593292	0.002799884	0.002051369	0.00228168	0.003173468	0.003611342	0.003467101	0.001845992	0.000998893	0.000309039	0.003066236	0.001651399	0.000884127	0.000333347	0.003258371
Proteobacteria	D0110A-S23-MaxBin2-055	0.001439354	0.00179753	0.034009393	0.001819753	0.037019163	0.002740482	0.002116752	0.001929281	0.002680512	0.001364438	0.008000133	0.001907952	0.028080655	0.002842033	0.002445524	0.03425563	0.03368212	0.03946603	0.02670006	0.02969658	0.03791052	0.035770956	0.039410226	0.036155067	0.039044753	0.03327214	0.017963426	0.03893553	0.055116165	0.05284432	0.030344104	0.033834595	0.03465986	0.033605393	0.03794665	0.032047797	0.03892799	0.037901253	0.034687743	0.038523804	0.032302387	0.02641487	0.030554099	0.031545255	0.02540104	0.03525562	0.03471328	0.02427821	0.034998376	0.033580776	0.03239454	0.03354617	0.029007262	0.017257592	0.024861481	0.011477852	0.009346109	0.025691135	0.022152776	0.010187243	0.007397396	0.02397517
Proteobacteria	D0116A-S25-MaxBin2-013	0.20718569	0.22243108	0.20800614	0.195287	0.24772885	0.21902221	0.18406487	0.22266124	0.22265095	0.2156508	0.21653602	0.2154764	0.21849625	0.2004157	0.2263911	0.24637115	0.21446334	0.2666238	0.18135041	0.24835084	0.25755402	0.26079243	0.2502149	0.21411915	0.27059552	0.24398895	0.13549408	0.25071496	0.24399689	0.24021046	0.21144502	0.2315156	0.23681594	0.23621501	0.24306661	0.21933849	0.23380543	0.2277978	0.21715592	0.25446165	0.2127613	0.2369288	0.2067884	0.19566086	0.16717546	0.2624048	0.20778619	0.18939193	0.2001037	0.19812725	0.18971455	0.18375699	0.17800392	0.100154765	0.15182368	0.06821298	0.06032067	0.15767711	0.12967895	0.05182128	0.05614532	0.17426905
Proteobacteria	D0121A-S27-MaxBin2-032	0.001107182	0.001091681	0.005435924	0.00081285	0.005542507	0.001757149	0.000521257	0.001052741	0.001294055	0.001080668	0.006321546	0.001081986	0.004966418	0.001417609	0.001450879	0.006645556	0.00647665	0.007081067	0.005035803	0.00397965	0.005962577	0.006397814	0.005577308	0.005446355	0.006464951	0.004600857	0.03318955	0.006064943	0.003084645	0.003809677	0.005292353	0.005888885	0.005716442	0.007412611	0.00632951	0.007173538	0.005888725	0.006022737	0.005746583	0.006512631	0.005643134	0.004552852	0.004937703	0.00451284	0.045852266	0.006830914	0.006770455	0.004678524	0.005275095	0.007307544	0.004816035	0.006975215	0.005257998	0.03202954	0.008278539	0.044853125	0.07122617	0.004515215	0.004489195	0.03865784	0.07101946	0.006578775
Proteobacteria	D0152A-S39-MaxBin2-023	0.011943021	0.010465173	0.005311371	0.010339731	0.010635809	0.011949434	0.011589523	0.011719978	0.009334593	0.014038302	0.027034696	0.009930395	0.008391935	0.038930636	0.011250385	0.012408515	0.008321886	0.012822446	0.008421523	0.009529916	0.011740277	0.013502547	0.010588804	0.007048428	0.014118224	0.011451864	0.07679549	0.011993138	0.004980167	0.004881426	0.009074676	0.011314671	0.011622315	0.015378081	0.012011327	0.014164285	0.013110801	0.009537868	0.011413055	0.012635787	0.01031729	0.016601503	0.012020303	0.012242516	0.08187514	0.014475336	0.009089689	0.011447178	0.006821876	0.006308446	0.008145968	0.011294292	0.009303285	0.23422447	0.008166124	0.054090794	0.15961048	0.007365534	0.00623278	0.31634074	0.18011318	0.01644531
None	D0153A-S40-MaxBin2-001	0.019658592	0.020845002	0.007818046	0.026984347	0.014385177	0.010544294	0.022723481	0.019766571	0.013843475	0.027489545	0.02690392	0.013828379	0.007067952	0.020204445	0.01341079	0.011399069	0.010736513	0.009281005	0.007915569	0.006422157	0.011868903	0.016786063	0.008444925	0.009320267	0.008322484	0.009480438	0.07090821	0.006016057	0.006629789	0.009109709	0.006208963	0.011653543	0.01087966	0.013623994	0.010425479	0.07153152	0.013290076	0.008436768	0.009580309	0.010472477	0.008827966	0.010017183	0.018255997	0.009981941	0.3737725	0.010136062	0.016706333	0.041025035	0.009189349	0.013346174	0.0069734	0.014282207	0.013951326	1.2866482	0.05512583	0.47066543	2.660566	0.038411405	0.025124917	1.9259268	1.7518613	0.05152493
Verrucomicrobiota	D0153A-S40-MaxBin2-025	0.002826204	0.002618008	0.013306521	0.002021333	0.027772842	0.004233406	0.002254705	0.003331214	0.00310952	0.002401578	0.021806765	0.003085138	0.017806754	0.006899256	0.003620308	0.026859455	0.016339477	0.03206791	0.02165559	0.01722402	0.02970692	0.030467138	0.027687289	0.016575864	0.03667065	0.024242066	0.1393046	0.036471676	0.018520784	0.016136948	0.017481549	0.024304023	0.025365569	0.03033374	0.030277774	0.031489722	0.03204631	0.020925373	0.021515116	0.033637572	0.020104876	0.029188393	0.027013563	0.024272978	0.14852194	0.035106137	0.019000527	0.020588752	0.015320204	0.01594158	0.018704033	0.026894875	0.015862381	0.23729946	0.01788181	0.05541888	0.14633273	0.013309325	0.012235849	0.15400021	0.12057762	0.029057253
Thermoplasmatota	D0158A-S41-MaxBin2-013	0.08394887	0.076402634	0.034326658	0.060675155	0.030896423	0.08398957	0.044629045	0.07368777	0.06779821	0.060064323	0.08523533	0.06824259	0.04584713	0.06721645	0.07250753	0.029477447	0.03158082	0.019581445	0.02162068	0.05977306	0.019872524	0.027934592	0.018757429	0.029520132	0.018922485	0.042017974	0.014448189	0.01538871	0.030935418	0.03398177	0.03782579	0.031016275	0.025418753	0.03766968	0.025241757	0.021961803	0.031258557	0.037052147	0.03337731	0.025360953	0.03203128	0.0534501	0.026657045	0.027853144	0.018680228	0.032991935	0.028505478	0.023190474	0.032475628	0.022973433	0.017763443	0.014668119	0.029531967	0.009536923	0.016229589	0.006538245	0.007223547	0.023151988	0.016944697	0.006632418	0.004965007	0.025125569
Actinobacteriota	D0159A-S42-MaxBin2-008	0.23084788	0.24917588	0.2426338	0.19049822	0.48125336	0.27989638	0.18549447	0.24161726	0.25957656	0.22133121	0.29012075	0.24314253	0.25713286	0.2339091	0.2613225	0.4877193	0.316376	0.56193924	0.35763833	0.25598714	0.53908354	0.51822495	0.5418522	0.30106536	0.38154382	0.28832808	0.367314	0.61549664	0.25992924	0.25956544	0.33383176	0.46967018	0.4383817	0.49742198	0.5312953	0.2968952	0.48142493	0.3761623	0.362183	0.52952176	0.30471602	0.3166943	0.4913309	0.37144113	0.41483572	0.47604623	0.28385955	0.2693332	0.2807324	0.30827656	0.320239	0.40416577	0.2702747	0.43763638	0.24857713	0.29471457	0.31108066	0.22147939	0.17988825	0.25883314	0.2737381	0.3250998
